Ticker,Price,Gain,Vol
AAOI,105.53,5.13,1229.4
ACMR,74.44,7.23,68.1
AEHL,8.17,9.66,26.8
AEHR,86.26,13.1,277.5
AGCO,133.4,6.02,133.0
AGMB,15.78,6.41,2.2
AGPU,10.67,8.0,4.0
ALAB,310.4,9.75,1015.4
ALTG,6.1,6.46,1.1
AOUT,14.48,44.66,3.8
AVLN,37.39,5.5,7.1
AXTI,61.64,9.68,689.7
BBCP,10.5,16.02,1.9
BE,252.87,7.35,2618.0
BETA,22.2,6.68,53.9
BETR,14.48,9.66,10.2
BIAF,15.27,19.48,69.2
BLTE,193.61,13.16,34.5
BOBS,17.64,7.36,13.2
BSVN,57.43,9.49,2.4
BUUU,34.6,9.25,2.9
BXC,81.81,5.86,12.3
CBRS,210.05,10.3,1818.5
CHPT,9.89,8.92,28.8
CLYM,15.52,6.37,24.8
CMDB,23.95,7.83,1.5
COHR,281.86,6.6,2126.9
COHU,50.72,10.31,49.9
CRWV,89.36,5.68,2587.0
DMRA,30.06,7.36,9.2
EDRY,57.43,10.34,7.0
ENTG,138.74,6.15,297.1
EPRX,8.4,12.0,3.8
EQPT,19.55,7.77,44.9
EROC,12.33,5.29,44.2
FGI,7.41,7.55,62.5
FIVE,252.2,5.1,296.0
FORM,103.9,7.38,120.3
FRMI,5.12,5.35,117.3
FRVO,18.16,5.83,126.8
FWRD,17.89,9.69,9.4
GLW,154.3,5.68,1336.1
GOLD,46.13,11.21,26.3
GPI,300.76,5.78,54.5
HUT,93.54,6.19,409.1
HVII,9.67,18.5,1.5
ICHR,56.38,6.74,39.6
IREN,44.68,7.27,1883.5
JACK,16.14,6.46,13.9
KLAC,185.6,7.32,1701.8
KMT,31.02,5.4,50.0
KRRO,12.24,5.34,1.0
LIFE,39.85,5.67,47.6
LRCX,307.65,5.12,2342.4
METC,13.2,6.88,27.6
MF,11.66,8.06,4.8
MGRT,113.4,5.01,2.2
MNRO,13.29,5.48,13.6
MOMO,5.37,5.29,3.8
MRVL,223.55,7.05,5526.6
MU,1016.59,6.1,26131.4
MXL,62.74,5.53,147.9
NBIS,226.39,7.48,5065.3
NRG,119.02,6.42,281.0
NTHI,5.03,5.01,1.3
NVMI,372.1,5.5,175.7
NVTS,11.8,6.31,161.0
NX,22.93,22.23,7.3
OBIO,5.08,7.17,1.8
OCC,13.85,5.64,3.1
ODTX,28.76,8.94,4.1
OESX,25.0,7.85,2.0
ONEW,12.7,7.35,1.5
ONTO,268.01,6.16,284.1
OPRT,7.87,6.21,2.4
PDEX,73.41,18.88,4.5
PDFS,45.65,5.04,28.2
PENG,51.76,6.44,82.8
POET,7.92,8.05,78.5
PRCT,22.76,6.5,22.0
PS,39.08,5.59,7.5
PSIX,40.49,11.18,14.5
PSNY,9.21,5.98,2.6
RDIB,14.99,7.88,7.6
RGC,6.89,6.33,1.1
SIMO,256.21,8.7,267.9
SION,7.18,6.37,25.3
SITM,612.09,6.55,223.8
SMP,41.53,5.7,6.4
SMTC,147.88,9.22,427.1
SNDK,1740.0,11.9,20583.2
STRL,486.49,5.75,274.0
STX,849.28,6.34,3120.9
SWBI,12.89,5.05,7.9
TANH,21.87,13.97,2.5
TARS,90.78,9.1,58.2
TER,357.03,5.45,880.4
TH,19.52,5.29,22.5
TITN,26.22,14.85,6.5
TJGC,10.41,5.58,11.5
TSEM,222.34,7.85,318.9
TTMI,125.6,8.85,297.8
TWI,8.33,9.03,4.4
TYRA,28.65,15.25,13.0
UCTT,72.43,8.77,71.8
VAC,106.62,7.47,56.6
VBNK,22.41,8.84,2.4
VEEE,9.9,6.34,1.2
VICR,188.55,5.48,171.5
VSAT,75.32,5.02,122.5
VSTS,13.26,5.74,18.5
WDC,467.46,5.86,3033.5
WOLF,28.35,5.63,107.5
WWW,20.76,6.19,16.9
YSS,8.96,5.29,34.0
ZURA,6.23,5.95,9.5
