Ticker,Price,ADR,Support,Dist
ABAT,3.42,8.3,E9,2.67
ABSI,5.54,11.95,E9,2.02
ABVX,121.0,4.24,E9,0.07
ACHC,26.8,6.38,E9,2.1
ACHR,6.41,6.19,E9,1.6
ACLS,161.64,5.84,E9,2.75
ACVA,5.72,6.03,E9,0.27
ADEA,31.48,5.81,E9,2.24
ADNT,22.53,4.23,E9,2.43
AG,22.66,5.16,E9,1.51
AGPU,5.6,15.39,E21,0.25
AIOS,16.17,31.03,E9,2.87
ALGM,44.97,5.43,E21,0.38
ALMU,26.65,16.6,E9,0.68
AMKR,72.09,6.08,E9,2.22
AMSC,54.7,8.61,E9,0.69
ANAB,62.19,9.26,E21,1.89
AOSL,41.1,10.69,E9,1.54
APP,485.16,5.87,E9,2.38
ARCB,118.9,4.44,E9,0.89
ARIS,19.72,4.16,E9,1.56
ARRY,8.62,6.13,E9,2.86
ASC,18.76,4.04,E9,0.43
ASH,56.15,4.1,E9,1.61
ASND,245.49,4.06,E9,2.88
ATI,162.57,4.66,E9,1.2
AVTX,19.01,9.94,E9,0.02
AXGN,40.95,4.6,E9,0.9
AXTI,114.98,13.98,E9,2.82
BB,6.18,7.67,E9,2.95
BLDP,4.13,9.67,E9,1.36
BLLN,87.94,9.59,E9,1.6
BTG,5.2,4.77,E9,2.64
BULL,7.3,5.47,E9,2.6
CABA,3.61,9.49,E9,0.57
CALY,15.22,4.55,E9,0.35
CC,24.86,5.28,E9,0.18
CDNL,54.54,9.72,E9,0.04
CENX,61.44,5.44,E9,0.32
CGAU,18.42,4.28,E9,0.4
CGON,69.54,4.81,E9,0.63
CLF,10.93,5.41,E9,1.19
CLS,381.59,5.71,E9,0.1
CODI,12.06,5.73,E9,1.03
COHU,48.96,5.69,E9,0.73
CRDO,184.54,8.02,E9,2.89
CRS,429.58,4.74,E9,0.07
CRWV,114.21,7.4,E9,0.35
CSIQ,17.82,8.56,E9,2.09
CSTM,33.5,4.44,E9,0.69
CTOS,10.09,4.4,E9,2.98
CUE,25.33,30.95,E21,2.73
CVI,33.11,4.64,E9,0.52
CVLT,102.05,4.35,E9,0.61
CVSA,126.51,4.31,E9,1.69
DIOD,103.65,4.95,E9,1.76
DKNG,25.15,4.62,E9,2.25
DUOL,109.15,5.92,E9,1.96
ECG,161.14,4.92,E9,1.62
ECO,54.59,4.24,E9,0.89
EDSA,14.61,20.53,E9,1.44
EE,36.21,4.1,E9,2.49
EFXT,27.68,4.29,E9,2.02
ELVN,43.08,5.66,E9,2.3
ENOV,26.12,6.13,E9,2.69
ESTA,69.8,5.95,E9,0.2
ETON,29.96,5.47,E9,1.69
EVH,4.1,10.1,E9,2.43
EWTX,34.01,4.98,E9,0.29
EXK,10.79,6.1,E9,2.9
FA,14.77,5.44,E9,0.02
FABC,4.2,23.46,E9,1.12
FIVN,20.75,7.05,E9,1.12
FLYW,16.35,4.75,E9,2.05
FSM,10.33,4.26,E9,0.43
FTAI,258.95,6.94,E9,1.15
FTRE,14.24,6.69,E9,0.63
FUN,20.08,6.66,E9,1.54
GDS,44.75,4.12,E9,1.02
GDYN,6.47,6.69,E9,0.31
GEV,1090.53,4.06,E9,1.59
GFS,73.84,5.4,E9,2.89
GHM,98.8,4.84,E9,0.66
GRC,76.07,4.14,E9,0.01
GRND,13.85,4.15,E9,1.25
GRPN,17.16,10.41,E9,2.55
GRRR,14.03,7.05,E9,1.43
HCSG,21.61,4.13,E9,1.11
HELE,23.43,6.74,E9,1.14
HL,19.45,5.56,E9,0.13
HNGE,53.88,5.14,E9,2.0
HOG,25.65,4.46,E9,2.76
HOOD,80.7,4.65,E9,2.82
HPQ,20.77,4.31,E9,0.49
HRB,35.71,4.94,E9,2.78
HUN,14.31,4.98,E9,0.99
