Ticker,Price,Gain,Vol
ABCL,10.35,6.1,63.9
ACLS,142.14,5.01,58.7
ACVA,7.76,6.89,34.2
ADTN,8.16,5.15,23.9
AEHR,129.23,10.28,261.9
AII,22.91,13.47,2.4
AKAM,122.78,5.24,444.6
ALM,14.37,8.13,90.5
AMRC,27.61,6.64,17.0
ANET,210.5,6.39,1450.0
ANTX,6.28,6.98,1.0
ARX,13.61,8.71,26.5
ATRO,87.89,17.33,43.5
AVLN,37.38,5.41,6.1
AXTI,78.47,6.36,752.8
BANL,6.09,47.28,1.4
BCAR,5.5,13.17,4.3
BE,237.16,12.29,3621.5
BGC,10.76,5.91,27.3
BKSY,31.87,6.62,27.9
BOXL,7.87,168.6,26.2
BRCB,8.23,19.1,2.7
BRUN,22.17,19.13,37.3
BUUU,30.85,7.01,1.8
BW,9.77,6.31,42.8
BWAY,16.6,10.81,2.5
CAMT,174.2,5.95,85.5
CAVA,69.47,14.24,257.9
CBLL,22.91,7.51,8.2
CBRS,262.06,11.63,1119.3
CHRN,20.79,7.89,5.6
CIEN,432.05,11.49,836.4
CLBK,11.65,5.05,124.2
CLS,339.46,9.37,1102.6
CLSK,12.18,5.73,300.4
CMPS,14.22,6.28,46.2
COHR,355.64,8.24,1893.4
COHU,56.14,6.29,55.0
CORZ,20.87,5.62,291.8
CRDO,268.16,8.26,1181.5
CRWV,107.73,19.28,2566.8
CUE,30.42,7.72,5.6
DBGI,16.64,5.32,3.3
DELL,484.5,9.87,2534.7
DGP,159.9,5.03,18.0
DK,67.22,5.13,82.1
DOCN,133.37,10.35,435.8
DUOT,9.32,6.27,5.8
EAT,245.89,11.07,248.8
ECHO,92.5,5.14,482.7
ELE,20.48,5.57,4.5
ENTG,161.08,7.24,386.9
EQPT,20.68,5.67,61.5
EVI,16.01,9.96,1.9
EZPW,28.91,7.19,31.7
FCEL,21.67,12.86,185.6
FIGR,30.68,10.2,90.9
FN,571.88,8.75,383.0
FORM,128.77,6.36,149.0
FOUR,43.92,7.02,76.1
FRMI,7.6,6.74,130.3
FWRG,12.65,7.39,15.1
FXHO,13.92,34.1,2.2
GENB,15.09,5.75,7.2
GFR,7.1,6.77,1.5
GLSI,16.92,8.81,2.6
GLW,167.44,5.18,2064.7
GMRS,12.86,8.07,6.3
HELP,11.49,13.88,19.5
HPE,58.79,8.11,818.9
HPP,14.31,7.19,12.1
HQ,14.93,19.54,4.5
HRB,54.18,16.09,111.4
HUBG,40.21,5.82,51.5
IMNM,27.99,6.63,26.8
IMRX,5.07,5.62,3.5
INBX,98.36,6.47,20.7
INHD,6.89,6.49,6.4
INTG,35.19,5.33,3.8
IREN,43.67,9.86,1806.7
JACK,18.77,5.1,13.2
JMIA,6.4,10.15,11.7
KEN,68.07,6.23,1.3
KROS,11.2,5.26,2.2
KRUS,52.43,6.13,10.5
KTB,81.6,8.86,56.3
LASR,53.04,7.78,84.8
LFST,12.23,6.35,45.1
LGN,68.68,5.71,93.5
LITE,932.47,13.63,4080.1
LWLG,8.01,5.95,22.2
METC,10.91,6.86,21.1
MF,10.5,6.82,1.8
MOH,206.06,5.92,224.7
MRNA,63.67,5.12,303.7
MRX,71.13,18.69,44.3
MSGE,88.42,11.4,27.7
MSGS,414.12,5.25,70.9
MXL,74.33,7.69,289.3
NBIS,259.2,34.14,5192.6
NDLS,16.43,5.46,1.2
NIKI,9.58,6.68,1.9
NN,19.23,7.85,49.8
NOK,10.32,9.32,908.0
NUAI,5.53,5.74,34.0
NXTC,8.17,21.4,4.1
OCC,16.89,5.89,3.2
ODTX,21.58,6.04,4.0
ONTO,337.35,5.49,338.5
ORCL,153.28,5.36,4546.6
OSCR,29.61,5.86,160.7
PANL,7.28,5.35,2.8
PDFS,51.77,5.33,25.6
PESI,19.43,11.35,11.1
PHAT,9.17,7.76,15.1
PHOE,21.8,14.74,1.5
PHVS,36.46,5.93,14.5
PLBL,6.21,6.15,1.6
PRLD,5.73,7.71,1.8
QDEL,14.83,6.0,23.4
QMCO,21.93,13.07,30.8
REPL,15.24,11.65,82.8
REZI,25.71,6.06,55.1
RSKD,6.32,19.92,5.0
RUM,7.55,9.1,16.5
RXO,22.71,5.73,53.9
SEI,61.8,5.12,225.0
SG,5.82,7.98,44.4
SGHT,8.28,6.84,1.6
SHAZ,68.46,21.0,129.4
SHMD,5.31,6.2,1.8
SIMO,241.31,7.73,324.6
SION,6.25,22.55,41.0
SLS,11.77,6.52,74.3
SMCI,37.61,19.02,1715.0
SMJF,9.6,5.49,6.7
SMTC,140.0,6.72,263.0
SMWB,8.79,21.24,6.9
SNDK,1344.29,5.76,21593.1
SNEX,69.4,5.2,81.5
SPHR,175.09,7.83,110.3
STX,878.21,7.03,4690.6
TECX,36.83,15.56,5.8
TER,402.74,6.11,1324.2
TRDA,7.67,8.95,3.1
TSSI,12.11,6.23,7.1
TTMI,138.1,5.63,392.5
UCTT,90.65,5.32,122.6
UNCY,5.39,7.8,4.2
VECO,53.26,6.18,50.9
VELO,15.1,10.3,22.2
VIAV,43.11,12.27,207.4
VICR,226.12,7.23,193.5
VNDA,5.19,5.27,5.4
WEN,8.66,14.7,76.5
WOLF,31.71,5.21,119.7
WYFI,28.58,18.0,48.2
XHLD,5.35,49.86,27.0
YSWY,21.88,5.75,6.5
ZTG,10.02,8.09,6.9
