Ticker,Price,ADR,Support,Dist
AAMI,82.79,4.1,E9,2.71
ABVX,136.65,5.91,E9,0.92
ACHV,6.27,8.41,E9,1.16
ACVA,7.45,4.89,E9,2.81
AGIO,39.61,4.27,E9,0.35
AGYS,106.68,4.6,E9,0.51
AIIO,3.95,19.42,E9,1.9
ALKS,52.72,4.04,E9,0.63
ALKT,17.91,4.65,E9,0.97
ALMR,25.95,8.16,E9,0.64
ALMS,28.66,6.93,E9,2.15
AMLX,17.75,6.23,E9,0.39
ANF,95.24,4.33,E9,1.8
ANNX,5.8,8.63,E9,1.02
ANRO,27.54,9.0,E9,1.56
APPF,179.73,4.18,E9,2.13
ARES,125.68,4.19,E9,2.65
ARLO,13.31,5.06,E9,1.65
ASAN,7.69,6.11,E9,2.7
ATEN,35.96,4.25,E9,0.98
ATEX,100.35,8.53,E9,0.52
ATLC,100.68,6.95,E9,1.06
ATPC,3.07,15.19,E9,1.19
ATRC,34.95,4.72,E9,2.6
AVAH,9.69,4.51,E9,1.52
AVBP,33.19,5.05,E9,0.19
AVTR,11.07,4.28,E9,2.49
AYI,333.72,4.14,E9,0.35
AZTA,26.29,4.74,E9,1.35
BAND,71.81,8.34,E9,1.79
BBIO,81.38,4.16,E9,0.17
BBNX,17.29,7.16,E9,2.84
BBWI,20.87,5.36,E9,0.58
BCAX,27.76,5.82,E9,1.4
BCC,77.19,4.64,E9,1.39
BETA,17.76,6.1,E9,0.44
BH,384.19,5.73,E9,0.89
BHVN,15.44,7.13,E9,1.63
BIIB,205.99,4.2,E9,1.21
BIOA,22.81,7.42,E9,0.91
BKD,15.01,4.42,E9,0.98
BL,30.29,4.61,E9,2.52
BLFS,29.15,4.77,E9,1.39
BLMN,8.54,5.68,E9,1.53
BLTE,150.08,4.65,E9,0.18
BMI,149.48,4.1,E9,2.57
BOBS,16.21,6.75,E9,1.77
BRBR,12.12,7.22,E9,1.59
BROS,68.36,4.98,E9,2.82
BSY,32.34,4.04,E9,1.42
BULL,7.23,5.71,E9,1.53
BWIN,27.25,6.29,E9,2.03
CANF,3.4,12.99,E9,2.0
CARG,35.0,4.19,E9,0.69
CCC,6.05,5.71,E9,2.95
CCS,65.53,4.11,E9,0.61
CERT,6.93,6.45,E9,0.89
CGEM,17.69,6.65,E9,0.48
CGON,71.85,6.09,E9,0.57
CHKP,137.1,4.05,E9,1.4
CLBT,15.44,4.8,E9,1.9
CLRO,7.3,40.6,E9,0.95
CLVT,2.39,7.88,E9,2.61
CMPR,102.85,4.27,E9,2.16
COGT,39.08,4.61,E9,0.95
COMP,12.0,5.64,E9,0.36
CORT,90.52,4.69,E9,0.71
CRTO,22.48,5.63,E9,0.9
CRVS,14.9,5.95,E9,0.04
CRWD,203.08,5.51,E9,2.11
CVLT,147.81,4.62,E9,0.01
CXT,51.27,4.01,E9,0.86
CXW,30.65,4.35,E9,0.61
CYRX,16.51,4.49,E9,2.51
DASH,184.14,4.39,E9,0.58
DDOG,258.69,5.36,E9,0.69
DFTX,44.29,7.91,E9,0.9
DIN,35.91,4.24,E9,0.69
DJCO,593.13,4.36,E9,1.57
DLO,14.48,4.5,E9,0.77
DXPE,167.98,4.46,E9,2.06
DYN,23.74,5.97,E9,1.75
EC,16.09,4.22,E9,2.6
ECO,53.88,4.38,E9,0.53
ELF,73.69,5.7,E9,0.3
ERAS,19.17,7.85,E9,0.89
ESTA,92.58,4.37,E9,2.94
ESTC,61.59,4.72,E9,0.61
EVER,26.16,5.53,E9,2.92
EVH,5.81,7.02,E9,0.74
EXPE,268.77,4.02,E9,0.71
FBIN,51.45,4.67,E9,0.92
FDS,258.09,5.15,E9,1.97
FIVN,25.58,5.71,E9,2.87
FLO,8.49,4.59,E9,1.43
FLYW,18.13,4.21,E9,0.17
FND,56.79,4.35,E9,0.19
FOUR,50.31,5.64,E9,0.55
FRHC,152.69,8.37,E9,0.59
FROG,88.54,6.26,E9,0.42
FRPT,56.64,6.02,E9,1.55
FRSH,10.89,4.47,E9,2.9
FTNT,161.61,4.34,E9,0.45
FTRE,17.76,5.3,E9,0.16
FWRG,12.45,4.67,E9,0.81
GENI,6.3,6.02,E9,0.58
GERN,1.44,6.41,E9,0.78
GH,155.87,5.13,E9,1.44
GKOS,156.83,4.32,E9,2.5
GLBE,38.12,4.57,E9,0.59
GRAL,72.62,5.91,E9,1.07
