Ticker,Price,Gain,Vol
ACHV,6.27,5.2,16.9
ACRS,5.68,5.97,12.4
AGL,129.84,7.11,39.7
ALMS,28.66,5.25,50.6
ALTO,5.84,12.96,15.1
AMWL,13.23,20.82,1.4
ANAB,58.0,7.11,48.2
ARQQ,17.42,5.38,28.8
ARTV,9.76,7.96,5.4
ASTS,57.8,5.07,1495.0
ATEX,100.35,6.79,49.7
AVTX,19.37,8.33,36.6
BGDE,5.71,8.56,1.3
BHVN,15.44,8.96,53.3
BJRI,67.49,8.04,35.3
BWAY,15.73,6.0,1.4
CADL,10.18,7.38,19.8
CBRL,53.61,5.01,55.2
CGEM,17.69,7.8,19.2
CUE,31.16,12.13,4.2
CV,6.71,5.01,1.6
DCBO,20.38,9.92,1.4
DNTH,105.6,10.75,135.3
DRTS,13.55,14.06,10.5
EPRX,6.59,6.98,2.5
ETON,42.32,13.79,18.8
FBRX,48.86,8.6,31.2
FCEL,18.5,7.16,380.5
FEIM,65.9,17.41,19.1
FNGD,35.28,6.23,20.4
GLUE,24.56,6.04,40.3
GPCR,48.48,5.32,42.5
GPRE,19.23,11.74,23.9
HQ,22.31,6.59,32.5
IOVA,5.0,7.3,74.8
JLHL,9.35,10.78,74.2
LASR,69.25,5.42,95.5
LCID,7.36,13.93,151.2
LENZ,5.18,6.15,6.4
LEU,156.05,6.11,160.2
LQDA,79.94,6.2,169.0
MANE,111.32,5.19,104.6
MBX,62.92,7.89,57.2
MGRT,83.99,9.09,1.1
MMED,16.93,6.61,19.9
MOVE,14.04,5.8,1.0
NMAD,5.79,7.42,3.6
OBE,9.64,8.68,6.4
OMER,9.69,5.1,19.2
ORKA,92.7,11.63,163.9
OUST,37.04,5.41,260.5
PESI,17.46,13.6,8.3
PHOE,31.32,26.55,1.2
PTGX,140.91,6.73,123.7
PVLA,157.24,6.41,44.7
QH,6.95,14.12,1.4
QMCO,10.63,10.73,11.4
RAPP,42.62,6.2,19.7
REPL,10.23,7.46,35.3
RGC,5.02,5.02,4.2
SDOT,25.3,77.54,159.6
SEPN,33.4,5.83,21.4
SG,7.08,13.83,41.5
SILC,44.06,9.96,8.0
SION,49.41,9.1,25.2
SLGL,83.2,6.56,2.4
SLS,13.19,12.26,154.4
SONO,15.11,5.89,35.3
SQM,69.81,5.25,73.1
SRZN,21.96,5.83,4.6
STTK,7.53,6.51,13.3
STX,787.66,5.66,4866.5
SYRE,100.23,6.49,178.1
TALO,14.92,5.67,29.4
TECX,32.6,6.36,7.2
TENX,15.85,5.11,22.4
TRV,368.98,9.22,742.7
TRVI,19.07,9.85,61.1
UNCY,5.38,6.53,17.5
VEEE,38.7,6.97,184.7
VG,13.8,8.92,159.0
WDS,21.72,5.44,15.3
WNC,13.44,7.18,18.9
WU,8.88,6.47,63.9
XNCR,17.47,16.86,15.6
ZNTL,5.11,11.82,6.8
