Ticker,Price,ADR,Support,Dist
ABEO,7.02,5.27,E9,2.21
ABUS,4.74,4.95,E9,0.37
ABVX,137.77,6.15,E9,1.98
ACRS,5.36,6.01,E9,1.67
ADPT,22.1,6.23,E9,2.99
AFRM,79.84,5.02,E9,0.55
AGIO,38.72,4.35,E9,2.48
AGYS,110.03,4.67,E9,2.49
AIIO,4.15,19.51,E9,2.58
ALGN,178.41,4.51,E9,0.36
ALKS,51.94,4.01,E9,0.7
ALKT,18.14,4.77,E9,2.51
ALMS,27.23,6.88,E9,2.03
ANNX,5.89,8.67,E9,0.26
ANRO,27.33,8.86,E9,1.18
ARQT,27.74,4.6,E9,1.27
ASAN,7.64,6.15,E9,2.72
ASTH,45.1,4.8,E21,0.3
ATEC,9.27,5.85,E9,0.44
ATEN,36.09,4.15,E9,1.45
AXON,541.75,6.22,E9,1.92
AYI,340.25,4.17,E9,1.15
BAND,68.88,8.19,E9,1.92
BBIO,80.3,4.11,E9,1.11
BBNX,16.9,7.01,E9,1.24
BBWI,21.12,5.43,E9,1.93
BCAX,27.6,5.8,E9,1.86
BETA,17.64,6.04,E9,0.12
BH,393.7,5.67,E9,0.32
BIIB,208.92,4.1,E9,2.96
BJRI,62.47,4.07,E9,2.61
BLLN,128.18,5.91,E9,2.81
BLMN,8.57,5.8,E9,2.28
BLTE,150.67,4.97,E9,0.62
BRBR,11.99,7.19,E21,0.67
BRKR,59.25,4.24,E9,0.12
BULL,7.52,5.94,E9,2.0
CADL,9.48,6.43,E9,0.18
CANF,3.32,13.17,E9,0.1
CBRL,51.05,5.44,E9,0.32
CCS,68.27,4.05,E9,3.0
CCXI,14.61,9.88,E21,0.96
CGON,69.5,5.97,E9,0.34
CHKP,136.51,4.02,E9,1.32
CLBT,15.83,4.81,E9,0.1
CLRO,7.21,40.11,E9,2.4
COGT,37.94,4.46,E9,0.61
COLL,36.27,4.26,E9,1.11
COMP,12.18,5.82,E9,1.96
CORT,89.72,4.69,E9,0.01
CRL,229.16,4.06,E9,0.52
CRSR,9.36,6.24,E9,0.11
CRWD,203.76,5.41,E9,2.99
CVLT,149.77,4.66,E9,1.33
CXW,30.65,4.45,E9,0.76
DASH,186.36,4.44,E9,1.06
DDOG,262.32,5.32,E9,0.54
DFH,16.52,5.73,E9,2.67
DFTX,44.1,7.9,E9,1.55
DHT,17.84,4.67,E9,0.85
DIN,36.36,4.24,E9,2.13
DJCO,595.98,4.4,E9,2.46
DLO,14.59,4.42,E9,0.2
DNTH,95.35,5.8,E9,1.38
DOCS,22.21,4.2,E9,1.06
DRTS,11.88,6.95,E21,0.89
DRUG,74.23,7.49,E9,1.27
DRVN,15.48,4.12,E9,2.65
DT,44.83,4.05,E9,0.53
DUOL,128.94,6.23,E9,0.37
DXPE,167.36,4.32,E9,2.2
DYN,22.72,6.17,E9,2.19
EAT,185.47,4.59,E9,2.49
EC,15.8,4.28,E9,1.41
ELF,74.49,6.04,E9,0.71
ELVN,50.86,5.34,E9,0.47
ENVA,235.53,4.01,E9,1.04
ERAS,19.02,7.86,E9,0.32
ESTC,62.11,4.85,E9,1.62
ETON,37.19,4.81,E9,0.0
EVH,5.67,7.04,E9,1.51
FATE,2.73,11.68,E21,1.75
FICO,1241.22,4.16,E9,0.32
FIVN,25.26,5.79,E9,2.32
FLUT,108.3,4.81,E9,0.49
FRPT,56.93,5.95,E9,2.47
FSLY,20.32,6.87,E9,2.9
FTNT,160.78,4.41,E9,0.04
FTRE,17.92,5.4,E9,1.11
GENI,6.28,6.49,E9,0.32
GERN,1.42,6.56,E9,0.42
GH,155.0,5.11,E9,2.23
GKOS,155.39,4.33,E9,2.19
GLBE,38.35,4.62,E9,1.35
GLUE,23.16,7.56,E9,0.2
GPGI,14.91,5.32,E9,0.43
GRAL,71.96,5.95,E9,0.42
GRND,15.76,4.5,E9,1.12
GTLB,31.75,5.92,E9,1.58
HAPN,19.71,4.25,E9,0.56
HNGE,85.98,4.91,E9,0.75
HRTG,26.56,4.04,E9,1.45
HSCS,2.74,14.08,E9,2.58
ICLR,170.0,4.27,E9,0.86
IDYA,35.93,4.69,E9,0.78
IMNM,22.2,5.74,E9,1.04
INSW,88.23,5.22,E9,1.99
JANX,15.84,4.61,E9,0.47
JBLU,5.64,6.14,E9,0.11
KBH,57.81,4.04,E9,1.29
KLAR,19.22,5.6,E9,0.96
KNSA,61.11,4.56,E9,1.05
KOD,41.25,8.32,E9,1.27
KSS,17.49,5.78,E9,2.76
KURA,10.89,4.93,E9,0.19
KYMR,113.99,6.71,E9,0.39
LB,77.03,5.76,E9,0.48
LEVI,24.99,4.05,E9,2.89
LGIH,61.04,5.08,E9,2.66
LGND,296.45,4.58,E9,0.29
LIF,55.17,5.8,E9,1.45
LPG,41.3,4.6,E9,2.63
LQDA,75.27,5.94,E9,0.52
LXRX,2.24,6.71,E9,0.44
LYFT,15.98,4.37,E9,2.22
MBX,58.32,7.85,E9,0.79
MC,69.25,4.07,E9,2.93
MDGL,545.53,4.22,E9,0.89
MDLN,41.11,4.09,E9,1.94
MGNI,19.91,4.66,E9,1.24
MIAX,42.89,5.32,E9,2.32
MIRM,117.36,4.98,E9,0.04
MITK,19.25,5.25,E9,0.02
MMYT,54.2,4.89,E9,1.03
MNKD,4.04,5.54,E9,0.68
MNRO,17.46,4.4,E9,2.46
MOH,224.82,4.36,E9,0.88
MPLT,37.22,8.25,E9,0.26
MTN,149.13,4.35,E9,1.72
MYE,31.32,4.4,E9,1.5
NAT,6.2,5.29,E9,1.9
NAVN,25.8,6.34,E9,1.31
NESR,27.88,5.58,E9,1.22
NET,272.46,5.28,E9,1.75
NGNE,36.5,8.54,E9,2.87
NP,31.21,5.38,E9,1.25
NRIX,23.07,6.25,E9,0.94
NSIT,115.67,4.65,E9,0.87
NTNX,55.85,4.36,E9,2.79
NTRA,269.83,4.88,E9,1.04
NVCT,18.6,12.34,E9,2.19
NVRI,22.8,4.66,E9,0.35
NWL,5.43,6.56,E9,2.73
NWPX,139.12,5.09,E9,1.58
OC,144.58,4.69,E9,1.15
ODD,16.34,8.44,E9,1.38
OI,9.6,4.98,E9,1.97
OII,42.3,4.09,E9,1.42
OKTA,147.74,6.05,E9,1.69
OMDA,23.67,4.9,E9,2.42
ONON,38.2,4.34,E9,1.91
OPY,112.3,4.61,E9,1.18
ORIC,10.73,6.61,E9,0.14
ORKA,83.04,6.27,E9,0.5
OWL,9.62,4.11,E9,2.13
PAR,16.88,5.45,E9,0.12
PATH,12.03,5.64,E9,2.47
PCVX,56.04,4.63,E9,0.59
PD,10.65,5.79,E9,1.93
PGY,17.49,7.04,E9,1.28
PHR,10.89,4.68,E9,1.38
PI,140.76,5.29,E9,0.51
PINS,23.09,4.46,E9,1.93
PJT,167.22,4.27,E9,2.81
PLMR,134.23,4.16,E9,0.8
PLTR,134.44,5.17,E9,2.69
PRAA,18.41,5.03,E9,1.34
PRCH,13.8,6.16,E9,1.77
PTGX,132.02,4.53,E9,0.03
PVLA,147.77,6.94,E9,0.68
QLYS,157.56,5.66,E9,2.34
QNST,17.31,4.15,E9,2.79
QTTB,15.21,14.36,E9,0.6
RAPP,40.13,6.71,E9,0.82
RBLX,54.01,5.88,E9,1.72
RDNT,62.99,4.84,E9,0.85
RDVT,66.12,4.46,E9,0.34
RGEN,148.55,4.36,E9,2.69
RIGL,41.67,4.85,E9,1.18
RIVN,17.09,7.09,E9,0.56
RKT,14.9,5.78,E9,2.0
RLAY,19.37,6.82,E9,0.61
RNG,41.77,5.02,E9,2.33
ROOT,59.43,6.64,E9,0.56
RSI,32.8,4.23,E9,0.15
SE,106.22,4.83,E9,0.63
SEZL,180.44,7.58,E9,1.93
SGMT,7.65,6.09,E9,1.03
SGRY,16.64,4.97,E9,2.71
SHLS,10.53,8.41,E9,1.41
SHOP,125.06,4.84,E9,1.97
SIBN,17.72,4.67,E9,2.41
SION,45.29,7.46,E9,2.91
SLDE,20.6,4.54,E9,0.63
SNDA,40.47,4.18,E9,0.91
SNDX,22.71,5.66,E9,1.66
SNOW,270.02,5.36,E9,1.47
STGW,7.65,4.54,E9,0.52
SUNE,2.6,16.61,E21,0.54
SVC,8.7,4.57,E9,0.51
SWBI,15.25,4.84,E9,0.11
SYRE,94.12,6.39,E9,1.61
TBLA,5.41,4.64,E9,0.15
TDOC,9.47,5.23,E9,1.71
TDUP,6.74,6.05,E9,2.46
TEAM,92.36,5.9,E9,3.0
TEN,39.39,4.18,E9,1.13
TENB,39.77,7.27,E9,0.78
TENX,15.08,8.12,E21,1.5
TGTX,54.93,4.69,E9,1.37
TOST,30.33,4.29,E9,2.76
TPC,78.89,4.32,E9,1.59
TPL,416.05,4.28,E9,2.05
TRNS,89.78,4.22,E9,0.33
TRVI,17.36,6.28,E9,0.16
TTAN,75.5,6.12,E9,1.53
TVRD,3.08,23.94,E9,0.05
TWST,91.23,6.89,E9,1.3
U,30.19,5.69,E9,0.7
URGN,40.0,5.34,E9,2.92
VAC,101.83,4.19,E9,2.89
VCEL,47.81,4.18,E9,2.37
VCYT,59.22,4.83,E9,2.15
VG,12.67,4.66,E9,1.51
VIA,18.41,6.96,E9,0.56
VITL,13.18,6.06,E9,2.27
VSXY,82.38,4.76,E9,2.09
VYX,8.29,5.67,E9,2.12
W,91.48,5.52,E9,1.34
WAY,23.17,4.75,E9,2.67
WBI,34.87,6.16,E9,2.01
WEN,7.83,8.48,E9,2.43
WLY,50.94,4.65,E9,1.94
WNC,12.54,6.51,E9,1.76
WRLD,195.34,4.73,E9,0.25
WTTR,19.84,4.12,E9,1.59
XENE,66.98,4.1,E9,1.06
XMTR,96.42,5.2,E9,0.8
XNCR,14.95,6.13,E9,1.58
ZBIO,28.24,7.17,E9,0.68
ZBRA,265.04,4.11,E9,0.8
ZETA,21.4,6.66,E9,1.08
ZS,146.43,5.43,E9,0.76
