Ticker,Type
AAP,Big Move
ABR,Big Move
ABSI,Big Move
ABUS,Pullback
ABVX,Big Move
ABX,Big Move
ACAD,Big Move
ACIW,Big Move
ACVA,Big Move
ADEA,Pullback
ADUR,Big Move
AEIS,Pullback
AGL,Big Move
AGNT,Big Move
AGPU,Big Move
AII,Big Move
AIOS,Big Move
AKTX,Big Move
ALGM,Pullback
ALGT,Big Move
ALLT,Big Move
ALMS,Big Move
ALNT,Pullback
ALOY,Pullback
ALRM,Big Move
AMC,Pullback
AMCX,Big Move
AMPL,Big Move
AMSF,Big Move
ANAB,Big Move
ANGI,Big Move
ANNX,Big Move
ANRO,Big Move
AOUT,Big Move
APOG,Big Move
APP,Big Move
APPF,Big Move
APPN,Big Move
APPS,Big Move
ARQQ,Pullback
ARTV,Big Move
ARX,Big Move
ASAN,Big Move
ASIC,Big Move
ASMB,Big Move
ASTS,Big Move
ASX,Pullback
ATAI,Big Move
ATEC,Big Move
ATEX,Big Move
ATRC,Big Move
AUPH,Pullback
AVPT,Big Move
BAND,Big Move
BBSI,Big Move
BFLY,Big Move
BH,Big Move
BHE,Pullback
BIIB,Big Move
BILL,Big Move
BIOA,Big Move
BJRI,Big Move
BKKT,Big Move
BL,Big Move
BLKB,Big Move
BLLN,Big Move
BLSH,Big Move
BMA,Pullback
BMRC,Big Move
BOBS,Big Move
BOW,Big Move
BOX,Big Move
BRCB,Big Move
BRO,Big Move
BROS,Big Move
BRZE,Big Move
BTBT,Pullback
BTDR,Pullback
BTGO,Big Move
BTQ,Pullback
BULL,Pullback
BWIN,Big Move
BZ,Big Move
BZH,Big Move
CABO,Big Move
CAI,Pullback
CAL,Big Move
CARG,Big Move
CARS,Big Move
CBIO,Big Move
CBRL,Big Move
CCC,Big Move
CCCC,Pullback
CCXI,Big Move
CELH,Big Move
CEPT,Big Move
CERT,Big Move
CHA,Big Move
CHDN,Big Move
CHKP,Big Move
CHPT,Big Move
CLBT,Big Move
CMP,Big Move
CMTV,Big Move
CNXC,Big Move
CODI,Big Move
COHU,Pullback
COLL,Big Move
COUR,Pullback
CPNG,Pullback
CPSH,Big Move
CRBP,Big Move
CRCL,Big Move
CRM,Big Move
CRML,Big Move
CRNC,Big Move
CROX,Big Move
CSGP,Big Move
CSTL,Big Move
CTGO,Big Move
CTNM,Big Move
CTRN,Big Move
CV,Big Move
CVRX,Big Move
CWH,Pullback
CXM,Big Move
DAVE,Big Move
DBI,Big Move
DBX,Big Move
DCTH,Big Move
DDOG,Big Move
DERM,Big Move
DIBS,Big Move
DIN,Big Move
DJT,Big Move
DKNG,Big Move
DLO,Pullback
DMAC,Big Move
DMRA,Big Move
DMRC,Big Move
DNA,Big Move
DOCS,Big Move
DOCU,Big Move
DSGX,Big Move
DSP,Big Move
DT,Big Move
DTIL,Big Move
DUOL,Pullback
DV,Big Move
DXC,Big Move
DY,Pullback
EBS,Big Move
ECG,Pullback
ECOR,Big Move
EDSA,Big Move
EEFT,Big Move
EFOR,Big Move
EGAN,Big Move
EIKN,Big Move
ELA,Big Move
ELE,Big Move
ENTG,Pullback
EPC,Big Move
ERAS,Big Move
ESI,Pullback
ETOR,Big Move
EVC,Big Move
EVCM,Big Move
EVER,Big Move
EVH,Big Move
EZPW,Pullback
FA,Big Move
FATN,Big Move
FBRX,Big Move
FCEL,Big Move
FCN,Big Move
FDS,Big Move
FIG,Big Move
FIRY,Big Move
FIVN,Big Move
FJET,Big Move
FLUT,Big Move
FLXS,Big Move
FORR,Big Move
FOUR,Big Move
FRMM,Big Move
FROG,Big Move
FRPT,Big Move
FRSH,Big Move
FRST,Big Move
FSLY,Big Move
FUBO,Big Move
FVRR,Big Move
GCBC,Big Move
GDDY,Big Move
GENI,Pullback & Big Move
GEV,Pullback
GHRS,Big Move
GLBE,Big Move
GLOB,Big Move
GLSI,Big Move
GNRC,Pullback
GRDN,Big Move
GRND,Big Move
GSHD,Big Move
GT,Big Move
GTLB,Big Move
GWRE,Big Move
HCKT,Big Move
HGTY,Big Move
HIPO,Big Move
HIVE,Pullback
HOOD,Big Move
HPP,Big Move
HQY,Big Move
HRI,Pullback
HRTG,Big Move
HUBS,Big Move
HURN,Big Move
HYMC,Big Move
IBM,Big Move
IBRX,Big Move
IBTA,Big Move
ICFI,Big Move
ICLR,Big Move
IDR,Big Move
IESC,Pullback
IIIV,Big Move
ILPT,Big Move
IMMR,Big Move
INCY,Big Move
INDP,Pullback
INFQ,Big Move
INFU,Big Move
INSP,Big Move
INTA,Big Move
INTC,Pullback
INTG,Big Move
IOT,Big Move
IRON,Big Move
ISSC,Big Move
IT,Big Move
JACK,Big Move
JBI,Pullback
JCAP,Big Move
JTAI,Big Move
KEEL,Pullback
KFRC,Big Move
KINS,Big Move
KLAC,Pullback
KLAR,Big Move
KLIC,Pullback
KMPR,Big Move
KMTS,Big Move
KMX,Pullback
KNSL,Big Move
KOD,Pullback & Big Move
KPTI,Big Move
KROS,Big Move
KRUS,Big Move
KURA,Big Move
KVYO,Big Move
LB,Big Move
LCID,Big Move
LENZ,Big Move
LESL,Big Move
LGIH,Big Move
LIF,Big Move
LIFE,Big Move
LIXT,Big Move
LLY,Big Move
LMND,Pullback & Big Move
LNZA,Big Move
LOVE,Big Move
