Ticker,Price,Gain,Vol
ACHC,29.62,5.26,99.4
ADEA,26.65,5.0,33.0
AEIS,289.52,5.56,200.9
AEVA,17.54,6.56,25.4
ALMU,16.2,5.68,8.2
AMBA,86.0,16.08,149.5
AMCX,11.2,15.35,7.0
AMZN,271.58,15.32,11155.0
ANET,180.35,5.46,1298.9
ANIK,19.28,6.7,1.2
ARX,11.88,6.07,32.2
ARXS,54.3,10.86,35.6
AXTI,60.43,28.74,511.0
AZ,6.15,9.43,1.0
BABA,122.25,5.1,1380.0
BDC,124.05,5.93,60.0
BETA,18.93,7.74,22.7
BETR,23.5,10.43,5.9
BHC,6.89,14.26,19.3
BLKB,42.8,6.79,25.3
BLZE,13.72,8.63,30.3
BOOM,6.74,7.67,1.4
BSBR,5.67,12.28,12.8
CDNA,43.71,14.72,43.9
COHR,262.89,5.55,1309.3
DLB,58.81,13.58,47.4
DUOT,8.61,5.77,7.3
DXCM,83.45,11.95,365.3
ETN,415.2,7.32,937.5
FCUV,11.6,517.02,54.2
FET,62.67,21.85,8.5
FFAI,5.93,10.84,9.0
FORR,11.5,18.07,1.4
FRNM,11.15,11.61,6.0
FSLY,22.66,5.15,97.9
GFUZ,10.09,7.57,7.5
GH,161.99,6.33,345.9
GIL,55.38,5.49,76.1
GOOG,356.65,6.88,6938.6
GTE,7.49,11.96,2.0
GTES,27.98,8.53,50.6
GVA,120.97,5.26,125.3
HPK,7.15,7.84,3.3
IESC,744.54,30.27,143.6
INBK,29.46,12.06,1.2
INR,13.16,5.03,3.9
INVX,28.08,5.72,8.6
ITGR,121.21,20.18,54.2
KBR,36.61,6.52,64.2
KC,11.15,9.96,14.6
LGN,63.93,6.89,103.8
LWLG,6.46,6.95,20.3
MPWR,1426.03,8.35,1253.7
MSA,190.27,9.13,46.0
MTX,76.24,5.14,17.2
NDLS,18.62,5.92,1.0
NTGR,24.16,5.32,8.8
NVT,153.83,6.24,331.4
NWL,5.6,8.95,52.0
OBE,10.72,5.62,8.7
OIS,8.11,6.99,5.4
OUST,39.01,9.79,155.4
PGEN,6.27,5.56,20.9
PGY,19.27,9.24,52.9
PLBL,5.43,6.26,2.9
PTEN,10.48,6.4,92.0
PTHS,28.66,9.18,2.1
PWP,17.65,18.38,18.8
QUAD,10.39,5.16,2.0
RDWR,26.19,5.05,8.3
REPL,11.2,107.02,55.7
SKYT,32.46,6.15,27.2
SOC,5.29,18.08,42.7
SPSC,73.39,11.48,36.9
SPXC,219.62,10.2,133.2
SRZN,22.21,6.63,5.2
TCX,15.44,59.18,1.3
VIAV,36.95,5.42,184.0
VRT,241.57,6.18,1670.7
WY,25.03,6.51,119.3
YARW,35.02,6.15,1.1
