Ticker,Price,ADR,Support,Dist
ALK,52.2,4.76,E9,2.39
AMKR,86.23,8.61,E9,2.88
AMN,32.37,5.17,E9,1.49
AMPG,6.96,17.92,E21,1.04
AMPH,20.18,4.53,E9,0.82
ANDG,37.72,6.42,E9,1.42
ANF,90.01,4.58,E9,1.69
ARE,52.85,4.28,E9,0.27
ARM,354.57,10.1,E9,0.16
ARQT,26.22,4.84,E9,0.14
ARWR,81.51,5.44,E9,2.29
ATHM,19.03,4.32,E9,2.13
ATLC,102.25,6.46,E9,0.09
ATRO,81.26,6.45,E9,1.03
AUPH,16.97,4.37,E9,0.54
AVR,9.85,6.64,E9,0.61
AVTR,9.9,4.34,E9,0.74
AYA,18.94,6.85,E9,0.22
BBAR,19.61,5.26,E9,0.38
BBNX,15.67,7.75,E9,2.1
BDC,119.91,4.36,E9,0.92
BEAM,34.32,7.48,E9,1.58
BHVN,14.88,7.91,E9,2.41
BMA,92.59,4.59,E9,0.4
BRKR,60.18,5.01,E9,2.54
BTQ,5.39,15.27,E9,1.54
BZH,28.05,4.21,E9,0.67
CAI,17.82,6.67,E9,0.88
CART,47.35,4.38,E9,2.92
CAST,6.72,41.93,E9,1.21
CECO,90.74,5.66,E9,0.02
CLOV,5.24,6.53,E9,2.1
CLPT,17.84,8.75,E9,1.56
CMP,31.13,4.61,E9,2.41
COHR,394.47,10.18,E9,0.62
COUR,5.64,4.95,E9,0.46
CRSP,54.54,5.5,E9,0.56
CTOS,11.81,4.47,E9,2.52
CTRN,57.84,7.55,E9,0.52
CVCO,614.38,4.01,E9,1.65
CWH,7.63,7.52,E9,0.52
CWK,13.39,4.08,E9,0.75
CYRX,15.7,4.35,E9,0.95
DHC,9.3,4.15,E9,0.57
DIOD,109.44,6.92,E9,0.33
DLTR,120.95,4.18,E9,2.4
DV,10.84,4.29,E9,2.77
DXPE,168.74,4.32,E9,1.64
EAT,168.0,4.77,E9,1.23
ELAN,24.61,4.12,E9,1.39
ESAB,98.63,4.72,E9,0.31
ESTA,85.81,5.87,E9,0.23
ETOR,39.47,4.58,E9,0.94
EWTX,40.63,7.23,E9,2.78
EXPE,255.88,4.06,E9,1.51
EXTR,32.37,4.71,E9,2.82
FIX,1981.95,5.36,E9,1.94
FLO,7.9,4.61,E9,1.75
FLR,52.39,4.76,E9,0.74
FTAI,270.53,6.17,E9,2.04
FTNT,153.62,4.09,E9,2.52
FTRE,17.4,6.4,E9,2.46
GENI,6.06,7.78,E9,0.49
GEO,29.55,4.07,E9,0.83
GFS,82.41,5.76,E9,0.14
GKOS,139.76,4.89,E9,1.81
GLBE,34.73,4.8,E9,1.66
GRDN,41.87,4.67,E9,2.14
GT,6.6,4.66,E9,2.74
HAE,75.0,4.31,E9,0.03
HOOD,100.28,7.0,E9,1.17
HPP,15.19,6.1,E9,2.35
HROW,42.47,5.56,E9,2.72
HSCS,2.51,12.42,E9,0.27
HZO,36.62,4.06,E9,1.39
IART,17.96,4.59,E9,0.3
IESC,734.66,6.58,E9,0.79
ILMN,175.83,4.19,E9,1.9
IOVA,4.16,8.64,E9,0.02
IRON,73.14,4.55,E9,1.65
JBI,5.55,4.25,E9,1.69
JBLU,5.73,5.42,E9,1.72
KAI,314.23,4.03,E9,1.2
KEEL,5.74,11.63,E21,0.14
KMX,52.89,5.01,E9,1.6
KN,41.48,4.34,E9,2.01
KSS,17.72,6.05,E9,1.68
LINC,49.9,5.03,E9,2.4
LION,15.31,4.54,E9,0.69
LYFT,14.61,4.44,E9,1.42
LYTS,26.58,4.38,E9,1.61
MAN,33.77,4.67,E9,0.72
MIRM,117.07,4.75,E9,2.34
MLTX,19.47,5.73,E9,0.97
MQ,4.06,4.53,E9,2.24
MRX,60.95,5.58,E9,0.32
MTN,136.15,4.48,E9,0.17
MTSI,380.37,6.05,E9,0.82
NAVI,8.51,4.14,E9,1.9
NCLH,21.11,4.59,E9,1.46
NOVT,162.24,4.87,E9,2.86
NPKI,15.91,4.43,E9,2.73
NUVB,5.68,8.18,E9,0.49
NVMI,542.94,6.36,E9,1.84
NVRI,21.95,6.76,E9,1.81
NVT,169.61,4.37,E9,0.71
OCUL,9.82,6.3,E9,1.3
OFRM,20.48,6.62,E9,2.55
OI,9.63,4.52,E9,2.59
OPTU,1.45,13.2,E9,0.26
OPY,105.54,4.04,E9,0.05
OSCR,28.52,6.84,E9,0.99
OTLK,1.59,17.03,E9,0.46
PAYO,7.12,4.07,E9,1.84
PINS,21.03,5.33,E9,1.75
PLSE,27.73,7.8,E9,2.09
PLXS,300.67,4.31,E9,2.78
POWI,83.76,6.41,E9,2.4
PRKS,47.74,4.17,E9,2.65
PRM,35.65,5.0,E9,1.37
PTCT,81.57,4.14,E9,0.47
PWR,720.04,4.03,E9,1.37
Q,163.31,5.36,E9,1.56
QFIN,15.81,4.75,E9,2.52
QNC,3.12,8.26,E9,0.12
RCL,317.53,4.45,E9,1.08
RDDT,173.58,6.92,E9,2.56
REAL,11.79,6.43,E9,1.02
REPL,11.07,10.14,E9,2.29
RGEN,136.44,4.8,E9,0.02
RHI,30.7,4.69,E9,0.61
RIOT,27.38,7.96,E9,1.13
RLMD,6.92,6.98,E9,2.87
ROG,163.73,4.61,E9,1.47
ROKU,138.14,4.29,E9,1.82
ROOT,55.92,6.0,E9,2.53
RSI,29.74,4.49,E9,1.1
RVLV,22.89,4.71,E9,2.07
RXO,27.59,5.08,E9,2.95
RXT,6.53,16.54,E9,1.04
SANM,253.08,6.36,E9,2.31
SBH,14.14,4.38,E9,1.52
SDGR,16.25,6.62,E9,1.41
SEI,80.46,6.9,E9,2.48
SFIX,4.11,7.45,E9,2.43
SG,8.81,8.32,E9,0.59
SGHC,13.55,4.16,E9,0.05
SHOP,114.18,4.72,E9,1.3
SIG,86.2,5.01,E9,0.07
SMG,68.11,4.18,E9,2.34
SMTC,161.85,7.88,E9,1.49
SOFI,17.93,5.44,E9,1.84
SPSC,57.17,4.72,E9,1.47
SPXC,245.17,4.83,E9,2.7
SRAD,14.97,4.94,E9,0.07
STM,74.89,5.05,E9,0.67
STX,965.0,7.62,E9,1.56
SVC,1.69,4.93,E9,0.11
SW,46.26,4.19,E9,1.53
SYRE,88.78,6.41,E9,0.38
TEX,72.39,4.46,E9,2.97
TGTX,54.94,5.28,E9,2.66
TH,20.36,4.11,E9,2.08
TIGO,90.76,4.32,E9,1.75
TNET,49.49,4.01,E9,2.94
TNGX,31.26,8.33,E9,2.51
TOI,5.43,8.0,E9,2.73
TRNS,92.77,4.53,E9,1.47
TVTX,56.81,4.69,E9,0.76
U,28.58,5.53,E9,2.57
VAC,101.88,4.08,E9,2.93
VERU,3.13,21.21,E9,2.91
VIRT,59.57,4.21,E9,0.57
VRTS,143.5,4.07,E9,0.63
VSME,1.79,32.97,E21,1.67
VST,158.63,4.09,E9,0.47
VSXY,83.48,5.8,E9,1.1
W,92.42,6.25,E9,2.96
WD,54.7,4.04,E9,2.81
WDC,638.72,7.77,E9,0.92
WIT,2.25,6.21,E9,0.42
XYZ,76.0,4.07,E9,1.12
