Ticker,Type
AAL,Pullback
ADEA,Pullback
ADUR,Big Move
AERO,Big Move
AGL,Big Move
AKTX,Pullback
ALAB,Pullback
ALGT,Pullback & Big Move
ALHC,Big Move
ALK,Big Move
ALMS,Big Move
ALOY,Pullback
ALTO,Pullback
AMKR,Pullback
AMN,Pullback
AMRX,Big Move
ANL,Big Move
ANRO,Big Move
APH,Big Move
APOG,Big Move
APPF,Pullback
APPS,Big Move
ARDT,Big Move
ARE,Big Move
ARHS,Big Move
ARQT,Big Move
ARTV,Big Move
ASH,Big Move
ASTI,Pullback
ATEN,Pullback
AVO,Big Move
BAP,Big Move
BBAR,Big Move
BBBY,Pullback & Big Move
BCH,Big Move
BEAM,Pullback
BFLY,Big Move
BHVN,Pullback
BKD,Big Move
BLDR,Big Move
BLFS,Big Move
BLLN,Big Move
BLMN,Big Move
BOOT,Pullback & Big Move
BRBR,Big Move
BRUN,Pullback
BTDR,Pullback
BURL,Pullback
BWA,Pullback
BX,Big Move
CAI,Big Move
CARR,Big Move
CART,Pullback
CBRL,Big Move
CDNS,Pullback
CDW,Pullback
CECO,Big Move
CELC,Big Move
CLW,Big Move
CNMD,Big Move
COMP,Big Move
COOK,Big Move
CORT,Big Move
CROX,Big Move
CVLT,Pullback
DCTH,Big Move
DDOG,Pullback
DELL,Pullback
DFH,Pullback
DHC,Big Move
DIN,Big Move
DK,Pullback
DKNG,Big Move
DNLI,Big Move
DYN,Big Move
EDHL,Pullback
ELA,Big Move
ELVN,Big Move
ESRT,Big Move
ESTA,Big Move
ETON,Pullback
EXP,Big Move
EXTR,Pullback
FBRX,Big Move
FBYD,Big Move
FCEL,Big Move
FDMT,Big Move
FLUT,Big Move
FND,Big Move
FPS,Pullback
FROG,Pullback
FTNT,Pullback
GFF,Big Move
GHM,Pullback & Big Move
GIII,Pullback
GMED,Big Move
GPCR,Big Move
GRBK,Big Move
GTX,Pullback
HELE,Big Move
HIMS,Big Move
HOV,Big Move
HPE,Pullback
HRMY,Big Move
HUN,Pullback
HZO,Pullback
IART,Big Move
ICHR,Pullback
IESC,Pullback
IFS,Big Move
IMVT,Pullback
INSM,Big Move
INVX,Pullback
IRTC,Big Move
JBI,Big Move
JMIA,Big Move
KN,Pullback
KNF,Big Move
KTB,Big Move
LASE,Pullback
LAZ,Pullback
LC,Pullback
LEGN,Big Move
LGIH,Big Move
LIFE,Big Move
LINE,Big Move
LMRI,Big Move
LOMA,Big Move
LPG,Pullback
LUV,Big Move
MANE,Big Move
MD,Big Move
MDLN,Big Move
MGNI,Big Move
MH,Big Move
MHK,Big Move
MKSI,Pullback
MLYS,Big Move
MOD,Pullback
MRVL,Pullback
MTH,Big Move
MYE,Big Move
NEOG,Pullback
NSP,Big Move
NTAP,Pullback
NUTX,Pullback
NUVB,Pullback
NUVL,Big Move
NVEC,Pullback
NVMI,Pullback
NVRI,Big Move
ODC,Big Move
ODD,Big Move
OEC,Big Move
OFRM,Big Move
OLOX,Pullback
ONON,Pullback
OPCH,Big Move
OPFI,Big Move
ORIC,Big Move
PAYO,Big Move
PENG,Pullback
PENN,Big Move
PGY,Pullback
PHVS,Pullback
PKE,Big Move
PODD,Big Move
POOL,Big Move
PRGO,Pullback
PRKS,Big Move
PRM,Big Move
PTGX,Big Move
QTTB,Pullback
QXO,Big Move
RARE,Big Move
RCL,Pullback
RHI,Pullback
RKT,Big Move
RKTO,Pullback
RLAY,Pullback
RLMD,Big Move
RNAC,Big Move
ROLR,Big Move
RSI,Big Move
RXT,Pullback
RYAN,Big Move
SFM,Pullback
SG,Big Move
SGHC,Pullback
SGML,Big Move
SHAZ,Big Move
SI,Big Move
SIG,Pullback
SITE,Big Move
SJM,Big Move
SKK,Big Move
SKT,Big Move
SKYW,Big Move
SLG,Big Move
SLGN,Big Move
SN,Big Move
SNDA,Big Move
SONO,Pullback
SPCE,Pullback
SPHL,Pullback
SPRC,Pullback
STAK,Big Move
SUPV,Big Move
SXT,Big Move
SYRE,Big Move
TBBB,Pullback
TGLS,Pullback
TGTX,Big Move
TIGO,Pullback
TMO,Big Move
TOL,Big Move
UCTT,Big Move
ULCC,Big Move
UNCY,Big Move
URGN,Pullback
USAU,Big Move
VCIG,Pullback & Big Move
VECO,Big Move
VELO,Pullback & Big Move
VNO,Big Move
W,Pullback & Big Move
WEST,Big Move
WGS,Big Move
WLTH,Big Move
WPP,Big Move
WRBY,Big Move
WSM,Big Move
WWD,Big Move
WWW,Pullback
XPEL,Pullback
