Ticker,Price,Gain,Vol
AAUC,20.67,5.03,20.0
ABCL,6.53,10.3,30.0
ADMA,10.06,8.64,24.3
AEVA,25.26,28.81,33.5
AKAN,5.36,6.56,2.6
ALB,125.42,5.54,273.0
ALIT,15.59,8.04,12.9
ALNT,111.21,19.26,24.8
ALOY,10.69,10.21,26.1
AMLX,24.19,10.71,39.1
AMPL,10.77,7.59,18.7
ANIK,20.16,5.05,1.6
ANL,13.84,5.89,2.6
APA,36.53,5.4,192.7
APPS,14.27,8.35,41.1
ARHS,9.68,17.62,11.5
ASPN,6.89,37.52,9.4
ATI,223.43,8.93,308.1
ATNI,30.63,27.57,1.9
AUPH,16.13,6.19,17.1
AURA,7.72,7.52,2.7
AVEX,21.49,9.09,30.5
AVNT,42.65,12.47,28.2
AXTI,75.17,9.56,627.2
BBDC,9.2,9.26,4.9
BCAX,27.51,6.26,14.1
BHVN,14.42,5.8,27.1
BKSY,27.79,10.37,28.1
BXC,85.4,17.73,10.7
CACI,628.79,21.38,149.0
CAI,20.0,21.58,73.0
CDRE,35.02,12.86,12.4
CENT,46.54,5.63,4.0
CHYM,31.25,20.56,176.1
CION,7.28,16.85,3.5
CLRO,9.8,166.3,35.5
CLYM,14.0,12.27,13.7
CNR,89.98,7.53,45.4
CVRX,5.94,6.45,1.2
CWEN,32.85,5.36,38.0
DCO,201.46,5.08,52.9
DCTH,15.47,22.49,6.7
DGII,83.01,14.1,25.4
DIOD,98.72,15.34,41.9
DNOW,15.39,8.23,32.5
DOX,59.12,6.93,72.9
DXPE,198.21,17.72,21.1
DXYZ,25.21,5.61,25.0
EC,17.4,6.16,38.1
ECO,63.78,5.21,27.6
ECPG,97.88,5.6,31.7
EDRY,29.82,11.43,2.6
EHC,124.82,12.55,102.3
ELF,92.31,6.88,211.2
EOLS,7.41,19.9,5.2
FA,24.12,17.32,41.8
FF,5.21,5.25,1.5
FHTX,5.57,14.14,1.2
FLY,24.06,5.34,69.2
FOX,55.37,6.07,63.8
FOXA,61.79,5.3,258.1
FSK,11.88,7.61,28.2
FTDR,89.92,17.73,36.9
FWRD,17.8,15.51,11.4
FXHO,10.11,8.01,1.3
GCT,52.4,13.32,30.2
GFR,6.43,9.91,1.4
GHRS,30.64,5.18,9.1
GNL,9.07,5.22,20.6
GOOD,12.91,5.47,5.6
HAWK,24.71,5.01,19.6
HCC,89.62,6.31,54.7
HELP,11.1,5.41,16.3
HLX,9.81,5.26,13.2
HNST,5.42,40.78,9.8
HP,37.07,11.39,35.4
HRTG,35.21,16.47,9.6
IMMX,10.06,5.45,15.3
INSM,132.55,33.86,338.3
IOVA,6.21,43.09,95.7
ITT,214.41,5.06,204.4
JJSF,91.86,8.5,18.9
JOBY,8.23,5.51,353.9
