Ticker,Price,ADR,Support,Dist
ABG,233.14,4.04,E9,1.32
ACVA,8.03,4.89,E9,2.23
AEO,17.31,4.11,E9,0.25
AGYS,107.65,4.9,E9,1.53
AIR,139.48,4.59,E9,2.57
ALKT,17.81,4.47,E9,0.84
ALT,2.98,5.72,E9,2.11
AMBP,4.85,5.09,E9,0.19
AMN,34.71,5.07,E9,1.88
ANDG,46.08,6.36,E9,2.97
ANF,100.26,4.35,E9,2.21
APPF,176.02,4.5,E9,0.78
APPN,26.48,5.87,E9,2.18
ARQT,27.99,4.21,E9,0.49
ATAI,7.18,4.76,E9,2.45
AVAH,9.69,4.36,E9,0.6
AVPT,12.82,4.26,E9,0.82
AVTX,19.39,6.67,E9,2.28
AXON,525.3,5.24,E9,0.04
BBW,35.27,4.48,E9,2.1
BIIB,207.93,4.2,E9,1.68
BILL,45.39,4.47,E9,1.5
BL,30.66,4.75,E9,0.94
BLTE,159.92,4.25,E9,2.78
BMA,94.23,4.75,E9,2.28
BOBS,16.42,5.76,E9,1.75
BRBR,13.15,5.76,E9,1.07
BRZE,25.06,6.45,E9,1.9
BVN,31.86,4.2,E9,2.85
BWIN,26.69,4.72,E9,1.38
CADL,9.87,6.3,E9,1.16
CALM,87.08,4.09,E9,0.15
CARG,36.0,4.05,E9,1.85
CCC,6.06,5.0,E9,1.29
CGEM,17.52,5.32,E9,0.43
CGON,73.03,5.39,E9,2.26
CHYM,22.6,5.07,E9,2.9
CNXC,24.9,7.28,E9,1.95
COAG,47.47,11.12,E9,1.97
COMP,11.46,5.26,E9,0.39
COTY,2.69,5.71,E9,1.1
CRTO,21.94,5.3,E9,1.44
CVSA,126.44,4.73,E9,2.44
CXM,6.2,4.21,E9,2.99
DFTX,44.49,6.15,E9,2.64
DJCO,594.6,4.36,E9,1.03
DMRA,29.21,9.07,E9,0.92
DOCU,54.29,4.91,E9,2.25
DOMO,3.7,9.23,E9,2.59
DRUG,74.63,6.58,E9,2.23
DSGX,74.55,4.15,E9,2.08
DUOL,133.6,5.71,E9,1.17
EFX,176.13,4.32,E9,0.83
ELF,82.26,5.52,E9,2.6
ELVN,53.95,4.8,E9,1.71
EPC,27.25,4.11,E9,0.45
ERAS,18.68,6.79,E9,0.01
ERIE,233.67,4.4,E9,0.55
EWTX,41.12,6.14,E9,1.79
FA,20.05,4.77,E9,0.1
FCX,63.44,4.09,E9,2.41
FDS,263.03,4.37,E9,0.33
FIG,23.76,8.21,E9,2.72
FND,55.3,4.09,E9,0.0
FRHC,155.13,7.29,E9,0.78
FRPT,60.74,4.69,E9,2.44
FTRE,19.08,5.24,E9,0.98
FWRD,14.19,7.5,E9,0.37
GDDY,99.33,4.17,E9,2.33
