Ticker,Price,Gain,Vol
ABCL,12.73,9.08,55.9
ABSI,9.27,15.3,26.9
ABTC,8.83,8.48,16.0
ACHV,7.91,6.6,12.0
ACOG,8.85,5.36,1.5
AEHL,12.29,33.3,32.7
AEHR,90.55,7.48,240.8
AEMD,6.78,374.13,39.0
AEVA,15.25,5.9,22.7
AG,19.49,6.33,191.9
AGMB,12.08,5.87,2.4
AGPU,12.92,17.56,3.1
AIP,22.37,7.19,15.2
ALAB,293.56,9.06,968.4
ALB,115.05,5.1,299.3
ALMR,32.01,8.95,9.7
ALTG,6.13,5.33,1.0
AMBA,66.91,6.6,120.0
AMD,545.09,6.36,8944.1
APLD,26.38,8.16,399.8
ARCT,16.93,8.53,20.0
ARE,56.34,5.27,101.6
ARHS,7.59,5.42,9.0
ARM,264.9,8.57,962.9
ASM,6.29,5.36,30.0
ASTS,62.71,5.8,570.7
ASX,39.99,5.38,224.0
AXTI,67.75,5.37,515.6
AYA,28.82,7.74,34.6
BCBP,8.69,5.33,2.2
BEAM,24.67,6.8,52.5
BETA,21.7,7.11,53.6
BFLY,7.96,9.64,36.3
BHVN,13.89,15.56,57.1
BIAF,8.75,63.55,84.2
BKSY,22.76,5.76,19.9
BLLN,110.67,6.81,55.3
BLSH,34.91,8.82,53.9
BLZE,13.79,5.19,32.7
BNC,5.42,13.87,24.5
BOT,28.06,7.55,7.0
BRUN,16.68,10.03,38.5
BTG,5.4,5.06,162.3
BTGO,6.76,5.46,13.3
BW,7.32,7.81,33.2
BYND,11.7,6.85,14.0
CAI,30.92,9.61,140.9
CAPR,9.42,10.05,54.3
CCOI,9.21,6.23,17.2
CDE,19.98,5.27,703.0
CEPU,14.48,6.08,3.2
CERT,8.58,5.54,16.8
CEVA,29.83,7.26,18.8
CHPT,9.92,11.34,35.3
CHRN,20.13,7.94,3.0
CLF,12.76,5.02,152.5
CMPS,15.0,8.7,36.6
CNXU,5.3,14.72,1.5
COHU,55.0,7.72,48.6
COIN,173.97,5.75,1949.4
CRCL,85.09,5.77,1497.6
CRML,6.87,6.02,56.1
CROX,123.0,6.59,121.5
CRSP,57.33,9.8,86.7
CTGO,19.15,5.74,7.0
CTKB,5.21,5.68,4.5
CUE,37.84,10.74,4.5
DAIC,5.3,163.68,89.5
DBVT,12.51,6.11,3.6
DC,6.08,7.04,7.1
DFDV,5.0,10.13,10.9
DNA,7.84,11.05,8.2
DOCN,132.98,7.45,280.4
DPRO,5.75,5.89,10.2
DQ,11.93,5.48,12.7
EDHL,5.22,12.5,1.8
ELA,13.67,6.63,1.8
ELE,21.56,7.69,6.8
ELMT,21.97,10.74,24.4
EQX,12.22,5.53,148.7
EROC,12.9,5.65,29.7
EXK,10.17,6.72,95.5
FAC,5.65,13.0,1.5
FCEL,17.71,14.26,122.7
FDMT,14.68,6.69,12.7
FISN,8.12,14.37,1.6
FLY,21.72,7.1,51.6
FORM,111.53,6.4,112.8
FOSL,5.63,5.83,3.6
FPS,38.06,9.24,277.9
FRNM,16.29,10.59,11.6
FRVO,16.66,8.18,122.6
FSLR,201.16,5.28,403.8
FTK,30.6,8.78,12.4
GENB,17.12,9.18,27.8
GFL,43.23,5.26,104.9
GFS,45.84,6.53,174.0
GLSI,18.39,17.66,2.0
GNRC,207.23,18.34,259.2
GOSS,11.94,8.94,3.9
GRAL,79.95,6.44,60.2
GSIT,5.22,8.52,2.6
HAWK,17.28,6.86,22.0
HL,18.96,5.39,620.5
HOOD,109.81,5.16,2656.1
HPE,61.04,7.69,1411.9
HPK,8.34,5.97,3.7
HPQ,34.66,5.99,529.1
HSHP,19.33,5.11,7.2
HSLV,5.42,5.65,3.7
HYMC,21.51,7.28,46.6
IBRX,8.46,6.95,71.9
