Ticker,Type
AAMI,Big Move
AARD,Big Move
ACHR,Big Move
AEVA,Pullback
AEYE,Big Move
AGIO,Pullback
AGPU,Big Move
AGX,Pullback
AKTS,Pullback
ALAB,Pullback & Big Move
ALGM,Pullback
ALGT,Pullback
ALT,Pullback
AMD,Big Move
AMLX,Pullback
AMPX,Big Move
AMRC,Big Move
ANDG,Pullback
ANET,Big Move
ANL,Big Move
ANNX,Big Move
ANRO,Big Move
AP,Big Move
ARHS,Pullback
ASML,Pullback
ASTH,Pullback
ATAI,Pullback
AVO,Big Move
AVPT,Big Move
AXTI,Big Move
AZTA,Pullback
BAND,Pullback
BBAR,Big Move
BE,Pullback & Big Move
BESS,Big Move
BFLY,Big Move
BGDE,Big Move
BIRK,Pullback
BKD,Pullback
BKV,Pullback
BLTE,Big Move
BMA,Pullback
BMNR,Big Move
BRKR,Pullback
BWAY,Big Move
BZ,Big Move
CARL,Big Move
CBRL,Pullback
CDLR,Big Move
CDNL,Big Move
CENX,Big Move
CEVA,Pullback & Big Move
CHPT,Big Move
CHRN,Big Move
CIFR,Big Move
CLBT,Big Move
CLPT,Pullback
CLSK,Big Move
CORZ,Big Move
CPS,Big Move
CRAI,Pullback
CRCL,Big Move
CRDO,Big Move
CRSR,Pullback
CRTO,Big Move
CRWV,Big Move
CUE,Big Move
CVCO,Pullback
CVEO,Big Move
CXW,Pullback
CYD,Big Move
CYTK,Pullback
DASH,Pullback
DCH,Big Move
DDOG,Pullback
DELL,Pullback
DIN,Pullback
DMAC,Big Move
DNA,Pullback
DNLI,Pullback
ECO,Pullback
ENLT,Big Move
EPC,Pullback
ESAB,Pullback
ETSY,Pullback
EVC,Pullback
EVER,Big Move
EXPE,Pullback
EXTR,Pullback & Big Move
FC,Big Move
FCEL,Big Move
FDUS,Big Move
FLR,Pullback
FND,Pullback
FRSH,Pullback
FTH,Big Move
FWRG,Pullback
FXHO,Big Move
GCMG,Big Move
GDDY,Pullback
GFL,Big Move
GGAL,Big Move
GLUE,Pullback
GRAL,Pullback
GT,Big Move
HDB,Big Move
HIMX,Big Move
HMC,Big Move
HNGE,Big Move
HROW,Big Move
HSCS,Pullback
HUT,Big Move
HZO,Pullback
IBKR,Big Move
ICLR,Pullback
IIIV,Pullback
IMCR,Pullback
IMOS,Big Move
INLF,Big Move
INOD,Big Move
INSP,Big Move
IOVA,Pullback
IQMX,Big Move
IREN,Big Move
JANX,Pullback
JFB,Big Move
JOBY,Big Move
KNSA,Pullback
KOD,Pullback
KRUS,Pullback
KURA,Pullback
LCID,Big Move
LE,Big Move
LEU,Big Move
LHSW,Big Move
LMB,Big Move
LMND,Big Move
LQDA,Pullback
M,Pullback
MANE,Pullback
MEC,Pullback
MIRM,Pullback
MLAB,Pullback
MLYS,Big Move
MMED,Pullback
MNKD,Pullback
MNRO,Pullback
MNTS,Big Move
MOH,Pullback
MQ,Pullback
MRX,Big Move
MTUS,Big Move
MXL,Pullback
NBN,Pullback
NBTX,Big Move
NN,Big Move
NPCE,Big Move
NRG,Pullback
NTAP,Big Move
NVAX,Pullback
NVTS,Big Move
OC,Pullback
OCGN,Pullback
OFRM,Pullback
OKTA,Big Move
OM,Big Move
OMCL,Big Move
OMER,Big Move
ONDS,Big Move
ONT,Big Move
OPY,Big Move
OSW,Pullback
P,Big Move
PCAR,Big Move
PCVX,Pullback
PENG,Pullback & Big Move
PENN,Pullback
PGEN,Pullback
PGY,Big Move
PHIN,Big Move
PJT,Big Move
PLSM,Pullback
PPHC,Big Move
PRKS,Pullback
PSNL,Big Move
PTRN,Big Move
PURR,Big Move
PVLA,Pullback
QCOM,Big Move
QH,Big Move
QLYS,Big Move
RCUS,Pullback
RGEN,Pullback
RGNX,Big Move
RHLD,Big Move
RKT,Pullback
RPD,Big Move
RTB,Big Move
RUM,Big Move
RXT,Pullback & Big Move
RYTM,Pullback
RYZ,Big Move
SBET,Big Move
SEDG,Big Move
SFM,Pullback
SHAZ,Pullback & Big Move
SHIP,Big Move
SHLS,Big Move
SIMO,Pullback & Big Move
SION,Pullback
SMPL,Pullback
SN,Pullback
SOUN,Big Move
SRAD,Big Move
STEP,Big Move
STUB,Big Move
STX,Big Move
SUPV,Big Move
SWBI,Pullback
TBI,Big Move
TBLA,Big Move
TDC,Big Move
TENB,Big Move
TPC,Pullback
TRIP,Pullback
TRNS,Pullback
TSLA,Big Move
TSM,Pullback
UGP,Big Move
UMC,Big Move
VC,Big Move
VGNT,Big Move
VRNS,Big Move
VRT,Big Move
VST,Pullback
VSXY,Pullback
W,Pullback
WBX,Big Move
WDC,Big Move
WEN,Pullback
WING,Pullback
WLFC,Big Move
WNC,Pullback
WPP,Big Move
WYFI,Pullback & Big Move
XXI,Big Move
YOU,Big Move
ZETA,Big Move
ZYME,Pullback
