Ticker,Price,ADR,Support,Dist
AESI,13.57,5.62,E9,0.05
AGCO,119.89,4.04,E9,1.11
AGRO,11.62,4.42,E9,0.96
AI,10.56,4.7,E9,0.64
ALT,3.24,4.54,E9,0.64
AMLX,32.63,5.71,E9,1.18
AMPL,13.47,4.55,E9,2.26
ANF,139.89,5.05,E9,0.85
APPN,37.5,5.17,E9,0.75
ARCT,15.6,11.33,E9,2.49
ASO,50.42,4.03,E9,0.52
ASST,27.41,9.28,E9,2.4
AUGO,85.96,4.85,E9,0.23
AUR,6.36,5.29,E9,0.41
AVAH,14.26,4.14,E9,1.89
CDW,149.96,4.7,E9,0.34
CERT,8.13,4.07,E9,1.72
CF,131.99,4.12,E9,1.03
CHA,12.19,4.24,E9,0.74
CLF,12.15,5.18,E9,1.58
CLOV,4.56,4.46,E9,0.66
CNH,13.52,5.03,E9,0.07
CNXC,29.16,6.99,E9,0.56
CRSR,13.16,4.45,E9,2.34
DAR,65.56,4.4,E9,0.43
DAVE,365.83,5.96,E9,0.05
DJCO,675.0,4.19,E9,2.65
DUOL,148.17,4.7,E9,0.47
EFOR,32.43,5.15,E9,0.58
EFXT,22.36,4.31,E9,0.87
EPAM,117.17,4.11,E9,0.85
FET,81.62,4.54,E9,0.46
FRHC,163.86,4.27,E9,0.27
FRNM,14.73,5.52,E9,1.56
FROG,92.62,6.2,E9,1.31
FSLY,23.54,7.56,E9,1.27
FWDI,6.01,9.15,E21,0.3
GCT,51.64,4.69,E9,0.35
GO,11.46,4.16,E9,0.09
GOLD,46.82,5.22,E9,0.02
GPRK,11.28,4.6,E9,1.66
GTLB,48.77,4.43,E9,1.85
GTM,4.09,5.45,E9,1.47
HNGE,93.73,5.12,E9,2.07
HPE,56.68,5.82,E9,0.96
HPQ,32.7,4.99,E9,0.41
HTFL,48.3,5.16,E9,0.06
INFQ,12.84,6.51,E9,0.3
INTC,101.05,4.35,E9,2.45
IOT,40.66,5.65,E9,0.93
IRD,5.41,10.36,E9,0.64
IREN,42.62,6.68,E9,0.22
IT,191.57,4.28,E9,2.14
JMIA,7.16,4.7,E9,1.09
KOS,2.87,5.15,E9,0.85
LCLN,25.91,4.17,E9,1.16
LIFE,38.55,7.19,E9,1.49
LITE,919.4,6.66,E9,2.45
LUCY,0.86,12.15,E9,0.04
MLAB,125.29,4.01,E9,0.74
MMED,22.4,5.27,E9,0.58
MNDY,94.06,5.18,E9,2.62
MOS,24.79,4.42,E9,1.1
MRNA,145.62,11.27,E9,1.84
MRVL,229.71,5.24,E9,1.9
MRX,72.38,4.62,E9,0.09
MSTR,126.18,6.71,E21,0.62
NCI,13.32,7.29,E9,2.18
NCNO,21.7,4.26,E9,0.64
NOW,139.82,4.28,E9,1.34
NRGV,3.97,8.0,E9,1.64
NSP,51.49,4.56,E9,1.05
NTAP,191.49,4.54,E9,1.11
NVAX,9.35,6.56,E9,0.3
OBE,12.14,5.1,E9,1.43
OOMA,22.58,5.17,E9,0.31
OSCR,32.34,5.9,E9,0.03
PARR,84.9,5.91,E9,2.58
PAYP,17.65,4.69,E9,0.48
PBF,75.93,6.06,E9,1.4
PD,14.48,4.03,E9,2.74
PGY,21.64,5.53,E9,1.24
PHVS,37.55,5.23,E9,0.26
PI,177.59,5.29,E9,2.41
PLTR,174.34,4.13,E9,0.94
PSIX,40.09,4.9,E9,0.78
PURR,11.44,12.37,E9,0.82
PVLA,151.43,4.83,E9,0.08
QMCO,23.83,8.21,E9,1.38
QNRX,6.9,12.22,E9,1.39
RBLX,47.43,5.03,E9,2.6
RGEN,172.91,4.26,E9,1.48
RNG,73.54,4.23,E9,3.0
RSKD,6.27,4.14,E9,0.87
SCSC,56.72,4.37,E9,0.28
SGMT,10.46,4.79,E9,0.48
SMMT,17.3,5.74,E9,1.61
SNAP,5.72,5.55,E9,1.36
SNOW,331.02,4.25,E9,0.43
SPCX,150.88,4.52,E9,2.29
SPT,11.27,4.83,E9,1.85
TARS,77.64,4.35,E9,0.87
TEAM,190.28,4.98,E9,2.38
TGTX,55.85,4.99,E9,2.04
TH,18.76,5.12,E9,0.46
TMDX,87.56,4.95,E9,1.0
TRLV,11.55,6.53,E9,0.31
TWLO,238.88,4.16,E9,2.12
UROY,4.39,5.41,E9,0.02
VG,14.65,4.12,E9,0.07
VIA,26.62,4.46,E9,0.1
VIST,74.26,4.0,E9,1.03
VRNS,46.76,4.35,E9,1.38
W,103.24,4.16,E9,1.87
WIX,80.4,5.93,E9,0.52
WLTH,10.17,4.51,E9,0.1
WTI,3.89,4.85,E9,0.31
XHLD,9.65,18.3,E9,1.27
XP,19.76,4.03,E9,1.4
ZBIO,32.32,5.15,E9,0.82
ZETA,30.85,4.6,E9,0.37
