Ticker,Price,Gain,Vol
AARD,6.48,6.58,3.3
ADVB,12.25,73.02,42.9
AMPG,6.47,6.24,19.2
ARQQ,18.08,5.12,16.5
ARWR,88.7,19.03,259.2
AVBP,30.44,7.71,21.3
AYA,20.9,8.52,9.8
BLFS,31.15,6.71,44.8
BMA,97.63,5.24,20.3
BXC,57.91,6.39,10.1
CABO,39.65,5.37,11.7
CACI,467.43,6.05,128.1
CAL,12.56,6.44,6.4
CIFR,24.46,6.86,578.4
CMCO,15.7,6.15,8.0
CRK,14.02,5.57,35.4
CRSR,10.6,7.29,15.0
CTNM,14.73,5.97,7.4
CWH,6.27,5.2,16.4
DELL,441.8,9.32,3123.0
EFOR,20.38,11.31,19.1
EGO,32.09,5.35,70.1
EQNR,39.96,6.3,129.6
EQT,54.01,8.45,424.5
EXE,93.17,5.18,371.0
FAC,5.68,8.19,3.3
FBRX,56.63,11.63,35.7
FCBC,46.91,5.11,4.1
FNWD,44.79,22.75,1.6
FTAI,222.49,5.82,307.6
GPI,327.93,5.23,67.6
GRPN,27.92,7.18,47.1
GTE,7.27,5.21,1.8
HMH,21.05,6.05,5.6
KODK,8.3,6.68,7.1
KRO,7.1,5.5,2.4
KSS,19.08,5.24,72.8
LBRX,35.84,10.93,10.8
LOMA,12.19,5.82,4.7
LQDA,87.04,7.6,130.7
MF,5.7,35.07,5.6
NEXA,13.63,6.32,9.2
NG,6.21,10.3,34.2
NRG,139.98,6.37,356.5
NUCL,6.51,10.71,2.5
NVRI,22.97,5.03,10.5
OTLY,10.78,19.12,1.2
PAG,214.57,9.93,82.4
PLSE,32.76,8.26,10.4
PN,9.34,131.76,5.5
RIOT,23.38,8.79,402.8
RPM,107.43,5.81,99.9
SIF,26.16,7.61,3.3
SKM,33.94,6.23,72.0
SLN,11.83,9.03,7.0
SMCI,30.56,19.84,1323.9
SUPV,10.24,5.68,4.2
VET,11.03,8.14,11.8
VG,14.82,5.41,179.3
WAB,290.0,10.04,260.0
WLFC,66.32,5.07,33.5
WWW,19.64,5.2,14.5
XIFR,12.88,5.14,11.9
