Ticker,Type
ABCL,Pullback
ABTC,Big Move
ACRS,Pullback
ADBE,Pullback
ADPT,Pullback
AERO,Big Move
AGEN,Pullback
AKTS,Big Move
ALMR,Pullback
ALT,Pullback
ALVO,Big Move
ANDG,Pullback
ANRO,Big Move
ARTV,Big Move
ASM,Pullback
AXGN,Pullback
AZTA,Pullback
BANL,Big Move
BBAR,Big Move
BBCQ,Big Move
BCRX,Pullback
BFLY,Pullback
BL,Pullback
BMA,Big Move
BOBS,Pullback
BRBR,Big Move
BRCC,Big Move
BULL,Pullback
BVN,Pullback
BWIN,Pullback
CAPR,Big Move
CAVA,Pullback
CDNA,Pullback
CELH,Big Move
CGON,Pullback
CHYM,Pullback
CLYM,Pullback
CMPS,Big Move
CNC,Pullback
CRK,Pullback
CRSP,Pullback
CXW,Pullback
DAN,Pullback
DCH,Pullback
DCTH,Pullback
DINO,Pullback
DK,Pullback
DKNG,Pullback
DQ,Pullback & Big Move
DXYZ,Pullback
EDN,Big Move
EFOR,Pullback
EPRX,Big Move
ESTC,Pullback
ETSY,Big Move
EVER,Big Move
EXPE,Big Move
FNKO,Big Move
FOXF,Pullback
FRHC,Pullback
FRMM,Big Move
FTH,Big Move
FWDI,Big Move
GDYN,Pullback
GENB,Big Move
GEO,Pullback
GH,Pullback
GPK,Pullback
GRML,Big Move
HIMS,Pullback
HLF,Pullback
HPP,Pullback
HSAI,Pullback
HUM,Pullback
HVII,Big Move
HYMC,Pullback
IMNM,Pullback
IMXI,Pullback
INFQ,Pullback
INSP,Pullback
INTA,Pullback
IRTC,Pullback
JANX,Big Move
KRO,Big Move
LIFE,Big Move
LIND,Pullback
LNSR,Big Move
LPTH,Pullback
MF,Big Move
MP,Pullback
MRVL,Pullback
MRX,Pullback
NAVI,Pullback
NCI,Big Move
NEO,Pullback
NG,Big Move
NHC,Pullback
NMAX,Pullback
NNNN,Big Move
NP,Pullback
NUVB,Pullback
OCUL,Pullback
OESX,Big Move
OTLY,Big Move
PAR,Pullback
PCOR,Pullback
PCVX,Pullback
PGEN,Pullback
PLTR,Pullback
PMI,Big Move
PPHC,Big Move
PTEN,Pullback
QMCO,Pullback
REPL,Pullback
RIGL,Pullback
RLAY,Pullback
RNG,Pullback
RSKD,Pullback
RYTM,Pullback
SA,Big Move
SATL,Pullback
SDGR,Pullback
SEPN,Pullback
SFM,Big Move
SGHC,Big Move
SION,Big Move
SMWB,Big Move
SNAP,Big Move
SOFI,Pullback
SPRB,Big Move
STKH,Pullback
STRZ,Big Move
SUJA,Big Move
SUPV,Big Move
SXC,Pullback
TALO,Pullback
TARS,Pullback
TH,Pullback
TJGC,Big Move
TLRY,Pullback
TNON,Pullback
TVTX,Pullback
U,Pullback
UPC,Pullback
UUUU,Pullback
VGNT,Pullback
VRDN,Pullback
WDAY,Pullback
WEN,Pullback
WETO,Big Move
WTI,Pullback
WWW,Pullback
XPON,Big Move
YARW,Big Move
YJ,Pullback
ZENA,Pullback
ZETA,Pullback
ZSTK,Big Move
ZURA,Big Move
