Ticker,Price,Gain,Vol
ABG,240.99,6.33,52.3
ACN,164.66,6.88,1193.0
ADSK,237.38,5.08,462.9
ADV,40.8,7.57,6.3
AGEN,6.6,7.67,63.5
AGYS,110.7,7.23,30.8
ALNY,288.41,6.12,456.5
AMBP,5.21,7.64,15.4
AMPH,20.15,5.06,7.9
AN,220.33,5.84,75.4
ANGI,6.24,5.23,3.3
ANL,12.69,5.22,2.8
APPF,178.27,5.65,70.0
APPN,27.35,7.05,18.7
ARE,54.0,5.08,76.4
ASAN,8.19,5.68,41.2
ATEC,9.32,7.5,20.3
ATHM,23.01,7.67,14.9
ATRC,39.75,6.37,32.0
AVTR,12.42,5.61,115.4
AWI,178.65,8.13,90.9
AXTA,35.44,5.04,50.5
AZTA,28.93,5.12,15.4
BIYA,6.44,54.44,64.4
BKNG,199.31,6.7,1104.7
BLFS,31.98,7.35,48.0
BMI,134.58,5.15,75.9
BOBS,17.0,6.58,14.5
BRO,73.65,5.67,186.2
BRZE,25.11,6.81,56.6
BSY,35.84,6.32,87.3
BUUU,24.86,8.15,1.2
BVS,13.21,6.1,8.3
CABO,43.82,10.82,9.6
CAC,57.85,5.55,5.4
CAL,13.3,6.31,5.2
CALM,93.21,5.06,87.5
CARL,12.31,7.51,1.7
CARS,12.61,6.86,7.4
CBZ,46.7,5.04,27.2
CCOI,12.95,9.1,16.2
CCXI,14.52,5.83,70.8
CFBK,36.06,6.03,2.6
CHTR,139.97,6.35,404.9
CHWY,22.92,5.14,177.3
CLS,350.2,10.04,757.3
CRL,240.43,7.19,191.5
CTS,64.82,7.3,14.7
CTSH,50.31,6.93,402.9
CVSA,126.3,5.06,42.7
DASH,195.52,6.05,709.1
DBI,6.35,8.36,3.0
DECK,103.92,6.33,239.6
DFNS,24.0,83.21,96.1
DMRC,6.49,6.39,1.1
DOCU,55.97,5.78,152.5
DSGX,75.59,6.34,36.1
DUOL,140.73,5.96,127.1
EFOR,23.25,7.84,18.3
EFX,187.02,5.48,325.5
EPAC,37.09,6.34,22.3
EPAM,100.4,6.62,134.9
ERIE,242.43,6.21,64.4
ESQ,127.58,5.88,18.4
ETON,46.66,10.28,21.1
EVI,15.1,8.24,1.3
EXLS,30.53,6.9,62.7
EXPE,295.79,6.26,371.0
EYE,21.81,5.16,36.1
FDS,283.87,6.76,253.9
FIG,24.38,6.28,480.0
FIRY,9.84,17.7,11.4
FIVN,27.12,6.14,54.5
FMAO,34.44,10.38,2.4
FORR,10.31,8.41,1.3
FOUR,54.84,9.75,54.5
FSUN,39.34,13.01,10.8
FTRE,20.7,7.81,23.1
FUN,18.73,6.48,41.5
G,34.61,7.55,62.5
GDDY,102.92,6.75,148.2
GFUZ,8.58,13.94,8.5
GLOB,35.11,7.57,60.5
GRND,16.6,7.24,27.0
GSHD,68.82,11.0,34.6
GWRE,159.4,6.78,181.3
HAS,96.34,6.32,213.6
HCA,418.19,7.33,696.6
HNVR,26.88,6.41,1.4
HPQ,28.29,6.55,354.8
HRB,44.94,6.17,73.2
HUBS,238.05,6.74,311.6
IBM,227.55,5.21,3247.5
IBP,240.07,5.04,88.1
ICLR,180.24,6.79,126.1
INCY,129.93,9.3,218.4
INFU,9.92,5.98,1.3
INFY,12.35,5.56,297.6
INLF,5.3,61.59,23.2
IOT,37.5,6.11,194.3
IQV,242.94,13.94,299.2
IT,155.84,10.92,170.0
ITRI,107.02,26.23,83.2
JBLU,6.0,10.5,198.3
JILL,18.59,6.35,1.4
KNSA,79.44,25.03,50.4
KVYO,18.89,6.54,70.8
LCID,7.9,21.54,160.4
LIF,56.68,5.29,33.2
LILA,8.31,6.61,4.8
LIND,29.74,5.87,20.8
LRN,95.88,6.44,60.2
LZ,8.08,6.88,18.7
MANH,168.17,5.57,113.1
MATV,8.75,6.06,3.6
MBLY,8.43,5.24,81.5
MF,6.68,7.92,4.5
MH,10.98,6.5,8.0
MIAX,46.2,6.4,61.4
MNDY,87.09,6.08,108.6
MORN,194.12,6.41,66.1
MPLT,12.31,24.28,26.0
MTN,157.08,5.93,110.5
NCLH,21.22,5.94,259.7
NICE,101.41,6.74,52.3
NIKI,8.93,6.18,1.7
NIQ,11.7,5.69,16.4
NN,13.45,6.07,32.5
NRC,22.34,5.03,1.7
NUE,265.62,7.17,321.0
NXTC,5.42,5.86,40.8
OEC,7.1,5.5,4.5
OOMA,22.14,6.54,6.7
OSCR,31.4,10.8,143.0
OTLY,15.16,6.01,2.2
PAY,34.14,8.45,26.5
PAYC,161.72,6.89,108.7
PCLA,5.85,17.0,1.7
PCTY,138.68,6.55,82.2
PD,10.31,5.64,16.5
PESI,16.64,6.12,8.9
PLSE,35.47,8.17,9.5
PMN,14.52,23.89,2.8
PNR,66.77,5.68,227.5
PPHC,9.97,5.84,1.2
PRK,206.97,9.31,20.4
PRTH,6.89,5.51,2.4
PSFE,9.03,5.24,1.9
RCI,34.75,5.91,50.1
RCL,322.5,5.72,723.7
RDVT,66.46,5.48,10.8
RELX,37.76,5.92,96.9
RGEN,145.34,10.9,168.8
RITM,9.78,5.96,55.6
RNG,56.93,6.01,102.9
RTB,18.78,11.12,2.0
RXST,6.05,7.27,7.0
RYAN,46.01,6.53,86.1
SHW,354.27,8.25,704.0
SI,24.25,15.7,2.1
SIBN,17.93,5.16,10.3
SMG,73.1,5.47,66.0
SMWB,7.19,5.27,6.6
SOLV,86.17,7.08,81.7
SONO,16.8,7.28,29.4
STE,230.34,5.47,150.1
SVV,10.25,6.33,6.7
TASK,6.2,6.9,4.4
TBCH,13.01,5.34,2.9
TDOC,9.36,5.05,38.2
THC,262.63,7.92,310.5
TNET,68.38,6.74,20.5
TRI,103.29,5.66,189.2
TRU,83.8,8.49,194.4
TTD,18.91,5.76,257.3
TTEK,33.51,5.08,76.8
TYL,333.35,5.53,214.4
UL,66.87,8.96,263.8
UPWK,9.81,5.94,27.3
VFC,18.25,6.6,103.8
VGNT,44.17,5.87,46.0
VIA,20.59,5.05,15.7
WDAY,159.69,8.24,611.8
WLY,54.3,6.45,25.6
WPP,21.3,9.01,7.5
WWW,20.87,9.44,13.8
Z,33.67,5.23,113.2
ZBRA,284.4,7.49,178.4
ZETA,21.89,5.54,165.2
ZG,33.81,5.69,34.4
ZUMZ,20.55,5.6,4.0
