Ticker,Price,ADR,Support,Dist
OC,142.22,5.11,E9,1.16
OCGN,1.5,7.12,E9,1.92
ODC,100.81,4.42,E9,1.08
OI,9.87,4.36,E9,2.17
OII,39.88,4.14,E9,2.23
OPEN,4.79,7.6,E9,1.17
ORKA,84.5,6.81,E9,1.25
OSCR,31.12,6.5,E9,2.24
OSW,27.31,4.14,E9,1.37
OTLK,1.46,16.83,E9,2.9
PACS,43.62,5.37,E9,2.94
PANW,337.04,4.93,E9,1.93
PGEN,5.51,7.29,E9,0.59
PHVS,34.59,5.04,E9,2.38
PI,138.14,5.78,E9,0.51
PKE,36.92,5.65,E9,1.61
PLUS,83.83,4.09,E9,2.05
POOL,209.62,4.07,E9,0.52
PRAA,18.03,5.52,E9,0.42
PRAX,323.95,6.94,E9,1.88
PRCH,14.68,6.83,E9,2.28
PRG,43.76,4.43,E9,0.51
PRKS,47.36,4.17,E9,0.56
PTON,5.82,4.85,E9,0.51
QDEL,17.0,7.7,E9,2.54
QH,6.75,26.81,E9,0.81
RAPP,39.72,6.78,E9,0.98
RCUS,30.25,6.16,E9,2.52
REPL,11.51,8.69,E9,2.76
RGEN,139.83,4.69,E9,0.63
RH,163.7,6.78,E9,0.86
RHLD,142.37,7.58,E9,0.74
RKT,14.63,6.42,E9,0.28
ROCK,43.15,4.67,E9,0.57
RVLV,22.54,4.67,E9,0.24
RXO,26.87,5.33,E9,0.07
RZLT,4.97,7.49,E9,0.55
RZLV,2.77,8.39,E9,0.23
SABR,2.03,7.59,E9,0.09
SAIC,113.67,4.0,E9,2.62
SBH,14.35,4.29,E9,1.72
SDGR,16.49,6.46,E9,0.42
SKY,82.95,4.24,E9,0.72
SMPL,13.17,4.02,E9,0.81
SN,150.94,4.12,E9,2.47
SNDA,40.93,4.35,E9,1.91
SOFI,17.75,5.5,E9,1.03
SPHR,156.48,5.39,E9,0.17
SSRM,29.91,5.3,E9,1.07
STOK,33.02,5.0,E9,2.62
SVC,8.71,4.86,E9,1.67
SVRA,6.21,4.97,E9,2.8
SW,45.0,4.18,E9,1.22
SWBI,15.44,5.19,E9,1.28
TATT,45.96,5.93,E9,1.0
TDUP,6.84,5.85,E9,1.96
TIGO,92.95,4.02,E9,1.51
TNGX,30.12,8.09,E9,0.34
TPB,87.61,5.3,E9,2.57
TPL,402.76,4.45,E9,0.17
TREX,47.11,4.68,E9,1.04
TRIP,13.72,5.4,E9,0.89
TSHA,6.5,6.87,E9,0.07
TVTX,57.85,4.26,E9,1.64
TXG,37.83,7.28,E9,1.19
U,29.66,5.47,E9,2.51
UAL,128.31,4.31,E9,1.72
UFPT,264.11,4.37,E9,1.06
ULCC,7.36,7.33,E9,2.17
UPBD,20.51,4.78,E9,1.63
UPST,33.06,6.96,E9,0.34
VAC,99.35,4.11,E9,0.22
VCYT,56.16,5.1,E9,1.67
VIA,18.25,7.46,E9,1.73
VIRT,63.23,4.14,E9,2.83
VSAT,76.72,9.91,E9,0.25
VSEC,221.06,5.73,E9,1.52
VSTS,14.11,4.48,E9,0.63
VSXY,78.25,4.96,E9,1.56
W,93.25,6.25,E9,1.18
WEN,7.78,8.44,E9,1.86
WGO,30.88,4.68,E9,1.07
WGS,65.42,7.63,E9,1.8
WING,170.21,6.12,E9,0.85
WLFC,221.88,5.17,E9,0.71
WRBY,28.04,6.78,E9,1.69
WRLD,199.11,4.69,E9,2.46
XMAX,8.72,4.39,E9,0.95
XMTR,93.1,5.45,E9,0.12
YOU,55.91,4.8,E9,1.65
ZBRA,264.65,4.49,E9,1.92
