Ticker,Price,Gain,Vol
AEHL,6.49,83.33,17.5
AGRO,11.38,5.96,9.4
ASND,263.04,6.1,128.6
ASST,24.22,11.41,131.3
BMM,6.06,7.83,1.5
BMNR,25.32,6.39,862.4
BOXL,6.28,5.55,29.5
BTDR,10.85,5.14,163.7
BUUU,30.64,6.76,2.6
BW,7.54,5.31,50.2
CABO,27.38,7.37,8.2
CAR,147.49,6.78,46.5
CHA,11.63,7.69,8.3
COIN,188.12,5.31,1607.3
CRCL,95.55,9.65,1184.5
CRWD,231.0,5.77,1999.7
DFDV,5.38,8.03,6.0
DPRO,5.42,21.39,5.5
FWDI,6.34,7.64,9.2
FXHO,12.32,18.69,2.8
GFUZ,8.1,15.22,1.5
GLXY,24.6,5.99,151.4
GPRK,11.0,11.9,4.1
HELE,30.1,5.17,10.2
HNGE,92.56,5.96,170.3
HTFL,50.39,5.46,94.5
HVII,7.89,5.76,1.5
METC,14.24,7.07,26.4
MF,21.69,11.29,4.2
NCT,5.21,6.98,5.5
NGL,18.97,5.27,4.7
OMCL,35.16,6.29,24.5
PAVS,5.21,8.54,12.3
PICS,10.61,5.57,6.6
PLSE,50.33,5.8,19.1
PURR,12.25,5.51,213.9
QMCO,24.33,9.3,51.1
RBLX,41.29,7.16,490.9
SBET,8.63,5.24,63.6
SIF,23.44,5.54,3.9
SNDK,1566.7,5.5,21089.0
SPAI,5.28,14.04,3.2
SUJA,10.07,7.47,8.5
SUPV,8.74,5.17,5.9
TITN,20.57,15.17,4.4
TSLA,367.95,5.51,11794.3
WOLF,27.4,6.0,122.0
WYFI,18.92,6.59,67.0
XE,18.45,7.14,100.2
