Ticker,Type
ACMR,Big Move
AEIS,Big Move
AGEN,Pullback
AGPU,Big Move
AGYS,Pullback
AIR,Big Move
AKAM,Pullback
ALKT,Pullback
ALT,Pullback
AMAT,Big Move
AMBQ,Big Move
AORT,Pullback
APPF,Pullback
ARGX,Big Move
ARHS,Pullback
ASST,Big Move
ASYS,Big Move
AVAV,Pullback
AVEX,Pullback
AVPT,Pullback
AXON,Pullback
AZTA,Pullback
BH,Pullback
BMM,Big Move
BRZE,Pullback
BWIN,Pullback
BXC,Pullback
CACI,Pullback
CBRS,Big Move
CECO,Big Move
CGNX,Pullback
CHRN,Big Move
CMDB,Big Move
CNXU,Big Move
COAG,Pullback
COHR,Big Move
COHU,Big Move
CRDO,Big Move
CRSR,Pullback
CSGP,Pullback
CVLT,Pullback
CVNA,Pullback
CWK,Pullback
DBX,Pullback
DDD,Pullback
DELL,Pullback
DFTX,Big Move
DGII,Pullback
DJCO,Pullback
DKNG,Pullback
DNTH,Pullback
DOCU,Pullback
DQ,Pullback
DUOT,Big Move
DXYZ,Big Move
EDRY,Big Move
EXK,Pullback
EXPE,Pullback
FCFS,Pullback
FCUV,Big Move
FDMT,Big Move
FHTX,Big Move
FIEE,Big Move
FIGR,Big Move
FIRY,Pullback
FIVN,Pullback
FIX,Big Move
FLYW,Pullback
FRNM,Big Move
FRSH,Pullback
FTDR,Pullback
GCT,Pullback
GENI,Pullback
GH,Pullback
GPCR,Pullback
GRAL,Pullback
GTLB,Pullback
HDSN,Big Move
HOG,Pullback
HPK,Big Move
HRB,Pullback
HRI,Pullback
HTHT,Big Move
HYMC,Pullback
IAUX,Pullback
IBTA,Pullback
ICLR,Pullback
IE,Pullback
ILMN,Pullback
IMAX,Pullback
INBX,Pullback
INTA,Pullback
INTC,Pullback
INTU,Pullback
INVX,Pullback
IPST,Big Move
ISSC,Big Move
JBIO,Pullback
JWEL,Pullback
KYTX,Big Move
LBRX,Pullback
LGN,Big Move
LYFT,Pullback
MAN,Pullback
MARA,Big Move
MB,Pullback & Big Move
MCS,Pullback
MDA,Pullback
MEI,Big Move
MESO,Big Move
MITK,Pullback
MMED,Pullback
MRVL,Big Move
NBTX,Big Move
NCNO,Pullback
NSIT,Pullback
NTSK,Pullback
NUAI,Big Move
NUVB,Pullback
NWL,Pullback
OBE,Big Move
OCUL,Big Move
OMDA,Pullback
ONTO,Big Move
ORIC,Pullback
OWL,Pullback
PAL,Big Move
PAR,Pullback
PAY,Pullback
PCOR,Pullback
PD,Pullback
PGEN,Pullback & Big Move
PGY,Pullback
PLSE,Big Move
PPTA,Pullback
PRGO,Pullback
PRLB,Pullback
PSIX,Pullback
PTC,Pullback
PTEN,Big Move
PUMP,Big Move
PURR,Big Move
PWR,Big Move
QBTS,Pullback
QNST,Pullback
QTTB,Big Move
RAL,Pullback
RDNT,Pullback
RGNX,Big Move
RHI,Pullback
RIGL,Pullback
RIOT,Big Move
RKT,Pullback
RNG,Pullback
RPD,Pullback
RUM,Big Move
S,Pullback
SAIL,Pullback
SHOP,Pullback
SIF,Big Move
SITM,Big Move
SKE,Pullback
SM,Big Move
SOUN,Pullback
SPCE,Pullback
SPRY,Big Move
SPSC,Pullback
SPT,Pullback
STEP,Pullback
STRO,Big Move
SVM,Pullback
SWMR,Big Move
SXI,Pullback
TER,Big Move
TGB,Big Move
THRM,Pullback
TIC,Pullback
TMDX,Pullback
TNDM,Pullback
TPC,Pullback
TPG,Pullback
TSHA,Pullback
UGP,Big Move
VAC,Pullback
VCX,Big Move
VG,Pullback
VIAV,Big Move
VICR,Big Move
VIST,Big Move
VSTM,Big Move
WDC,Big Move
WFRD,Pullback
WLDN,Pullback
WOLF,Big Move
WWW,Pullback
WXM,Pullback
WYHG,Pullback
XERS,Pullback
XPEL,Pullback
YPF,Big Move
ZBIO,Pullback
