Ticker,Price,ADR,Support,Dist
AAP,60.8,5.46,E9,2.95
ACVA,6.01,6.48,E9,0.01
ADI,417.79,4.16,E9,1.77
ADNT,22.68,4.63,E9,1.46
AGYS,90.64,6.26,E9,1.53
AI,10.9,6.92,E9,1.28
AMN,30.8,5.46,E9,1.91
AMR,200.82,5.95,E9,0.95
ANET,163.24,4.71,E9,2.99
AOSL,45.21,10.84,E9,2.55
APPN,24.01,6.58,E9,0.24
APTV,68.05,4.91,E9,0.26
ASAN,7.39,7.47,E9,0.67
ASPI,6.55,10.63,E9,0.23
ATEN,31.76,4.34,E9,1.18
AVBP,30.54,5.96,E9,0.86
AVR,9.15,7.23,E9,1.1
AVTR,9.39,4.85,E9,0.12
AXGN,43.0,4.83,E9,2.56
AZTA,22.59,5.2,E9,0.5
BAND,65.34,9.11,E9,0.79
BB,9.19,9.58,E9,0.35
BBBY,5.88,7.58,E9,0.3
BHVN,11.28,8.61,E9,2.32
BLBD,71.54,4.4,E9,1.34
BLFS,26.1,5.52,E9,1.05
BLLN,101.12,8.69,E9,2.71
BLZE,7.92,7.38,E9,1.83
BOOT,170.61,5.53,E9,1.17
BRKR,54.23,5.55,E9,2.19
BRUN,30.92,16.68,E9,0.32
BTDR,17.83,10.46,E9,1.58
BTQ,4.16,13.56,E9,1.78
BWA,74.51,4.34,E9,1.54
CADL,8.56,7.47,E9,1.15
CART,41.24,4.37,E9,0.29
CDNA,22.97,4.88,E9,0.67
CDNS,384.96,4.27,E9,0.75
CDW,132.19,4.16,E9,1.09
CLS,393.12,6.98,E9,1.07
CLSK,16.48,8.74,E9,1.1
CMP,31.46,4.51,E9,2.93
CMPS,12.08,8.52,E9,1.84
CNR,92.17,4.24,E9,0.24
COHR,385.03,9.2,E9,1.79
CORZ,27.6,6.25,E9,2.09
CPSH,7.86,24.22,E9,1.12
CRL,187.51,5.11,E9,1.87
CRMD,8.74,4.05,E9,1.5
CROX,124.71,4.1,E9,2.24
CRVL,60.34,4.52,E9,0.01
CRWD,682.8,5.4,E9,0.37
CWK,13.5,4.46,E9,1.82
CYRX,14.62,4.59,E9,0.84
DCH,6.35,5.53,E9,0.51
DDOG,229.9,5.47,E9,1.66
DELL,395.57,6.99,E9,2.24
DGII,68.68,4.36,E9,2.15
DIOD,108.75,6.47,E9,2.54
DK,47.22,5.33,E9,0.43
DLTR,114.0,4.62,E9,2.96
DOCN,170.44,8.28,E9,0.25
DRTS,9.85,9.77,E9,1.88
DRVN,13.43,5.15,E9,0.05
DV,10.2,4.45,E9,0.38
DXCM,75.37,4.3,E9,1.03
DY,469.0,5.03,E9,0.67
ELAN,24.17,4.99,E9,1.57
ENLT,95.73,4.02,E9,0.36
ESTC,60.35,6.01,E9,1.29
ETON,31.59,6.44,E9,2.97
ETSY,69.48,4.01,E9,1.83
EVER,19.98,5.65,E9,2.44
EWTX,34.83,5.78,E9,0.47
F,14.84,4.87,E9,0.93
FAC,15.33,18.52,E9,0.03
FDS,241.16,5.04,E9,0.5
FLEX,149.71,5.95,E9,0.44
FLNC,23.71,14.21,E9,0.58
FROG,77.74,5.69,E21,2.06
FRSH,9.44,4.67,E9,0.19
FSLR,267.31,6.55,E9,0.19
FTNT,146.3,4.14,E9,2.71
FTRE,16.48,6.42,E9,1.47
GFS,81.38,6.38,E9,2.62
GH,131.62,5.8,E9,2.23
GHM,103.89,6.73,E9,2.41
GLBE,32.73,4.46,E9,1.04
GPK,10.7,4.69,E9,0.62
GRRR,17.4,10.3,E9,0.14
GTX,33.56,4.07,E9,2.67
HBM,27.82,5.76,E9,2.95
HCC,98.11,5.49,E9,0.44
HGV,50.78,4.02,E9,1.28
HIMS,26.82,7.76,E9,0.62
HP,39.25,4.0,E9,0.74
HPE,48.17,6.54,E9,1.49
HPQ,25.24,5.49,E9,0.63
HRI,144.62,5.51,E9,2.53
HUT,118.86,8.95,E9,1.66
HZO,34.0,4.24,E9,0.81
IBM,272.24,4.77,E9,0.73
ICLR,146.18,5.78,E9,0.69
ILMN,160.97,4.17,E9,0.37
INOD,100.9,10.98,E9,2.12
INTA,23.9,6.53,E9,1.09
IOT,33.66,6.67,E9,0.15
IOVA,4.08,8.5,E9,2.08
IRDM,47.32,7.51,E9,1.09
ITRN,66.32,4.11,E9,2.65
KEEL,5.59,10.84,E9,1.47
LC,18.05,4.41,E9,2.95
