Ticker,Price,Gain,Vol
ACDC,7.55,6.79,10.5
AEHR,108.47,5.28,213.8
AEVA,24.89,5.87,64.0
AIP,41.0,9.89,40.3
AKAN,18.54,20.47,16.3
AKTS,21.93,12.69,3.8
ALB,170.42,7.14,363.3
ALGM,50.4,5.1,106.5
ALGT,91.59,6.45,51.4
ALMS,24.15,15.55,24.7
ALOY,15.22,8.25,29.9
AMKR,82.78,8.71,385.4
AMR,200.82,6.18,54.3
ANDG,37.78,7.91,9.9
AP,11.83,5.53,1.5
ARIS,15.89,5.23,20.8
ARM,380.81,11.27,4251.5
ARTV,8.54,6.75,4.7
ARVN,7.58,6.91,6.8
ASIX,22.81,6.14,4.5
ASM,6.39,6.86,27.1
ASPI,6.55,5.14,43.3
ASTL,5.01,6.37,6.7
ASYS,23.99,6.15,9.2
AUGO,60.89,7.62,69.0
AVTX,14.76,7.97,21.7
AXTI,97.18,10.01,965.9
AYA,18.71,7.04,7.9
BETR,26.51,10.0,9.6
BGC,11.85,5.71,33.8
BIOA,18.04,9.67,6.9
BIRK,48.75,5.5,125.4
CABO,47.0,13.06,10.3
CCOI,15.86,6.16,19.3
CDNL,68.73,5.27,28.8
CGEM,13.7,5.55,17.1
CHPT,7.14,8.51,4.8
CHRN,18.36,5.46,6.8
CIFR,24.5,8.26,561.2
CLW,17.68,7.15,3.5
CMPS,12.08,5.87,49.5
COHR,385.03,5.9,2260.7
COOK,70.09,9.45,2.8
CRBP,8.19,5.27,6.1
CRWV,100.55,5.02,3025.5
CSIQ,16.73,6.15,55.2
CTRN,50.64,5.57,6.8
CVGI,5.4,6.51,2.0
DBVT,17.42,5.29,4.8
DHT,17.57,5.53,45.1
DNTH,82.07,7.35,79.5
ECO,52.74,5.99,23.6
EDHL,8.64,44.48,39.1
ELTX,14.85,6.53,1.7
ELVN,46.13,14.3,53.4
ELVR,84.51,8.28,8.4
EPC,22.94,5.96,15.8
ERO,29.39,6.1,35.4
ESEA,71.52,5.44,5.5
EXK,8.59,6.05,61.0
FA,16.49,5.98,13.1
FIGS,11.96,6.03,31.5
FMC,11.85,5.15,37.7
FORM,139.21,6.89,204.0
FRD,34.72,31.61,1.3
FRO,39.07,5.22,112.8
FWRD,13.33,6.05,13.5
GLUE,18.24,6.64,17.4
GPGI,12.8,5.26,23.5
GT,6.4,6.84,49.6
HTFL,33.24,8.38,36.9
HY,37.18,5.18,3.1
IDR,36.39,5.45,8.8
IMUX,13.86,6.04,3.3
INTC,124.57,6.51,14743.6
IPI,36.15,5.21,7.5
IREN,59.77,5.4,2942.5
JACK,13.37,7.48,9.4
JKS,19.71,6.2,19.0
KLAC,254.54,5.55,2247.2
KPTI,9.5,5.56,3.7
KRRO,11.61,10.26,1.7
KRUS,48.98,5.51,20.5
KVHI,8.62,6.55,3.1
KZIA,14.28,13.88,2.6
LAR,9.64,7.11,20.5
MEI,12.02,5.25,7.4
MLTX,18.69,5.3,14.0
MOB,6.24,6.85,1.5
MOS,22.69,7.59,192.3
NAT,5.56,7.96,17.5
NESR,26.5,6.6,47.4
NEXA,13.73,6.35,13.5
NG,7.44,5.23,22.3
NGL,16.54,5.62,6.4
NOK,14.8,5.04,1860.0
NVTS,23.39,5.31,964.7
ODD,11.72,6.93,22.8
OEC,8.26,9.99,3.1
OFRM,20.06,7.5,6.5
ONTO,323.88,6.7,374.4
ORIC,8.27,5.75,14.0
PESI,10.99,12.42,2.6
POET,12.53,11.38,614.6
PRAX,266.58,7.5,140.6
PRCH,10.28,5.76,14.6
QMCO,13.74,5.21,18.7
RAPP,38.4,9.06,11.1
RGNX,6.66,6.05,10.8
RIVN,16.76,7.85,540.1
RNAC,9.51,17.99,2.9
ROAD,113.87,7.73,64.7
ROKU,143.66,20.08,356.7
RRGB,5.1,7.82,2.7
RYAM,8.56,5.29,7.2
RYN,21.92,5.08,54.8
SEPN,35.95,5.64,9.9
SGML,15.98,8.49,53.6
SHIP,16.54,6.03,3.8
SHLS,10.43,5.46,61.9
SKE,28.11,7.87,17.5
SLSR,9.38,5.63,1.3
SMMT,14.01,7.11,98.2
SNDK,1980.1,5.24,18431.8
SPRB,51.89,5.67,2.7
STRO,28.8,8.76,9.6
STUB,11.46,7.91,61.0
STX,931.04,7.25,2728.4
SVCO,12.17,6.1,7.4
SVM,11.3,7.52,42.2
TBN,40.37,19.93,9.4
TENX,11.48,6.99,8.2
TER,403.2,5.72,1364.5
TGB,7.5,9.49,36.4
TITN,20.26,6.35,5.3
TJGC,5.53,5.53,2.0
TMC,5.43,5.85,36.2
TNDM,16.6,5.06,48.7
TNXP,11.35,6.57,6.9
TRMD,30.4,5.01,25.5
TRT,10.98,6.91,18.0
TRVI,14.21,5.57,14.1
TVTX,52.04,6.4,89.6
TYRA,26.99,5.55,27.6
UBXG,7.87,64.3,14.6
UP,8.24,8.85,1.4
USAS,5.28,5.81,28.3
VCX,130.0,6.26,62.9
VECO,77.48,8.29,90.4
VIAV,53.46,6.41,331.9
VLRS,8.04,5.1,4.2
VMET,12.54,6.81,2.7
VYX,7.85,10.25,15.7
WBI,32.44,6.36,22.6
WDC,562.92,6.35,3414.5
WDS,23.07,6.17,22.3
WING,162.29,5.47,182.4
WNC,9.71,8.61,5.9
ZBIO,19.8,11.49,11.0
