Ticker,Price,ADR,Support,Dist
AAL,17.92,4.28,E9,2.98
AAP,61.53,4.55,E9,1.17
AGL,111.01,10.35,E9,0.11
AIR,140.11,4.15,E9,1.09
ALK,51.09,4.92,E9,0.08
ALMS,26.5,7.25,E9,2.38
ALTO,5.56,7.0,E9,1.9
AMAT,603.04,6.88,E21,2.29
AMBQ,82.85,9.0,E9,1.56
AMD,517.82,6.55,E9,0.27
ANAB,63.42,5.36,E9,1.11
ANF,92.42,4.59,E9,2.8
ANNX,5.46,7.31,E9,1.29
ANRO,24.78,8.89,E9,0.97
APH,164.59,4.18,E9,0.83
ARQT,25.81,4.71,E9,1.12
ASTE,57.56,4.15,E9,1.97
ASX,41.87,5.76,E9,0.3
ATEN,36.3,4.48,E9,1.79
AUR,6.63,6.06,E9,0.5
AVBP,34.67,5.75,E9,2.75
AXGN,45.89,5.81,E9,2.59
AYI,359.04,4.27,E9,2.63
BB,11.51,9.63,E9,2.95
BBAR,19.45,5.28,E9,0.43
BBWI,21.96,5.36,E9,0.04
BCRX,9.84,4.94,E9,2.15
BEAM,34.79,7.71,E9,2.51
BFLY,7.68,11.65,E9,2.04
BJRI,58.75,4.72,E9,1.9
BLDR,84.69,5.21,E9,0.4
BLFS,28.11,5.19,E9,1.93
BLMN,8.7,6.02,E9,0.09
BROS,72.16,5.15,E9,2.78
BZH,28.07,4.22,E9,0.78
CADL,9.83,7.41,E9,2.0
CAI,18.3,6.94,E9,0.52
CART,45.78,4.42,E9,0.01
CCCC,4.3,9.76,E9,0.03
CCS,69.99,4.2,E9,2.07
CDW,133.37,4.14,E9,0.67
CGEM,17.63,8.96,E9,1.55
CGNX,67.8,4.71,E9,0.27
CGON,70.36,5.87,E9,1.59
CLOV,5.26,6.79,E9,1.17
CLYM,12.9,8.33,E9,1.28
CMPR,97.62,4.62,E9,1.93
CMPS,13.62,8.04,E9,0.69
CNH,10.72,4.23,E9,0.28
COGT,38.69,4.39,E9,2.95
COUR,5.9,5.05,E9,2.97
CRNC,10.71,8.46,E9,0.12
CRVO,3.55,23.8,E9,2.99
CSL,366.73,4.16,E9,0.09
CTRN,55.28,6.78,E9,1.67
CYRX,15.49,4.54,E9,0.64
DFH,16.79,6.27,E9,1.96
DGII,72.15,4.28,E9,0.82
DHC,9.23,4.14,E9,0.14
DJCO,584.83,4.24,E9,1.66
DNTH,94.34,6.78,E9,2.87
DUOL,125.76,7.25,E9,2.97
ELAN,25.0,4.16,E9,2.51
ELVN,49.82,7.59,E9,2.69
ESTA,89.25,5.54,E9,2.38
ETOR,40.47,4.67,E9,2.24
EWTX,39.56,7.09,E9,0.21
EYPT,13.98,7.43,E9,1.76
FLUT,106.03,5.34,E9,2.59
FRMI,8.06,11.59,E21,0.53
