Ticker,Price,ADR,Support,Dist
ACRS,5.92,6.75,E9,1.57
ADBE,263.71,4.56,E9,1.82
AFRM,76.71,4.15,E9,1.29
AGYS,106.57,4.77,E9,0.37
AIR,145.45,4.67,E9,1.55
ALT,3.0,5.44,E9,0.2
AMBA,82.89,8.15,E9,2.11
AMBP,5.05,4.73,E9,1.65
AMIX,9.12,41.27,E9,0.35
ANDG,48.47,4.95,E9,0.6
ANRO,28.78,6.72,E9,2.15
APH,167.23,4.06,E9,0.86
ARLO,14.73,4.88,E9,1.13
ARWR,89.24,4.4,E9,2.41
ATEC,9.37,4.67,E9,0.72
ATRO,74.91,4.8,E9,0.89
AUR,6.95,6.6,E9,2.41
AVTR,13.77,4.25,E9,2.73
AVTX,19.47,6.8,E9,2.65
BAX,27.61,4.3,E9,2.5
BCC,85.53,4.24,E9,2.44
BHC,6.24,6.46,E9,2.6
BMNR,18.09,6.7,E9,0.59
BOBS,18.35,5.5,E9,2.92
BOOT,165.8,4.1,E9,2.3
BSY,36.25,4.52,E9,2.46
BULL,7.57,4.66,E9,2.71
BVS,13.85,5.67,E9,0.89
CADL,10.65,5.49,E9,2.61
CARG,36.18,4.07,E9,0.97
CBRL,56.03,4.52,E9,1.0
CERT,8.13,5.33,E9,1.62
CHEF,109.31,4.45,E9,0.93
CHWY,22.47,4.15,E9,0.63
CLBT,16.03,4.25,E9,2.82
CLF,12.41,5.43,E9,2.73
CLRO,6.35,21.86,E21,0.55
CMCO,19.55,6.94,E9,0.46
CNC,64.88,4.74,E9,0.07
CNMD,49.58,4.63,E9,2.2
CNXC,25.69,6.15,E9,0.94
COHR,328.57,9.69,E9,2.76
CORT,111.86,4.97,E9,2.34
COTY,2.82,5.43,E9,1.07
COUR,5.69,4.79,E9,0.2
CRI,39.74,4.45,E9,0.09
CSGP,31.12,5.02,E9,2.84
CSIQ,15.88,6.79,E9,2.57
CTOS,10.64,5.1,E9,0.05
CVSA,126.48,5.91,E9,0.11
CWK,13.75,4.56,E9,0.9
DASH,212.0,4.26,E9,2.87
DELL,440.97,7.91,E9,0.06
DINO,85.55,4.3,E9,0.19
DK,63.94,5.15,E9,2.65
DMRA,30.36,6.98,E9,1.74
DNLI,24.69,4.08,E9,1.12
DNTH,108.49,6.01,E9,0.33
DOMO,3.92,7.46,E9,1.96
DRUG,80.25,5.44,E9,2.6
DSGX,79.18,4.12,E9,2.09
DUOL,135.44,6.05,E9,1.54
DXC,10.81,5.18,E9,0.53
DYN,26.71,5.72,E9,2.81
ECPG,93.49,4.25,E9,0.19
EFX,181.96,4.22,E9,1.64
