Ticker,Price,ADR,Support,Dist
ABCL,11.05,6.93,E9,2.77
AG,21.18,4.42,E9,1.41
AI,10.38,4.77,E9,0.64
ALM,18.33,7.01,E9,1.58
ALNY,258.0,4.23,E9,1.41
ALT,3.35,4.94,E9,2.65
AMLX,32.4,6.73,E21,1.28
AMR,226.94,5.64,E9,1.95
ANDG,54.49,4.4,E9,0.46
AQST,5.15,5.31,E9,0.35
ARCT,14.74,10.86,E9,2.53
ASM,7.36,5.2,E9,0.26
AUGO,85.32,4.65,E9,0.44
BIVI,1.97,26.81,E9,2.89
BKKT,8.26,8.44,E9,2.45
BLSH,34.34,6.7,E9,1.19
BMNR,24.21,6.36,E9,0.38
BOXL,5.77,21.82,E21,1.03
BTU,29.36,4.38,E9,2.08
BULL,9.42,6.19,E9,0.48
BXC,80.07,4.38,E9,0.24
CAI,24.03,5.32,E21,0.57
CDE,21.0,4.46,E9,0.08
CDNA,50.03,4.76,E9,0.26
CENX,47.69,5.5,E9,1.68
CGEM,21.31,5.12,E9,0.55
CLF,12.09,5.27,E9,0.31
COIN,174.72,5.61,E9,0.21
CRCL,92.99,7.27,E9,0.83
CRK,14.9,4.25,E9,0.31
CRM,244.16,4.03,E9,1.11
CRSR,12.33,4.57,E9,0.86
CSTL,32.31,5.19,E9,0.56
CTMX,3.54,5.27,E9,0.69
CVNA,73.41,4.57,E9,0.31
CXW,34.37,4.14,E9,1.24
DAR,67.51,4.36,E9,2.07
DCH,6.72,4.6,E9,0.96
DGP,162.45,4.0,E9,0.05
DJCO,637.0,4.98,E9,1.79
DNN,3.35,4.86,E9,0.59
DOCU,64.45,4.41,E9,0.63
DXYZ,32.6,6.47,E9,1.25
ESTC,86.58,5.02,E21,1.17
ETON,58.83,5.78,E9,1.53
EWTX,43.39,4.72,E9,0.65
EXK,11.15,5.33,E9,1.28
EZPW,33.07,4.7,E9,0.6
FDMT,14.18,7.94,E21,0.41
FET,80.22,4.5,E9,0.24
FIVE,247.12,4.09,E9,0.25
FMC,12.29,4.91,E9,0.2
FRNM,15.75,5.87,E9,1.64
FTH,36.12,9.36,E9,1.64
FUBO,10.71,6.98,E9,1.63
GCT,51.88,4.53,E9,1.46
GEMI,4.45,9.8,E9,1.16
GH,162.78,4.7,E9,0.12
GLXY,25.15,7.0,E9,0.03
GRAL,77.48,6.21,E9,0.4
GTLB,46.33,4.9,E9,0.66
HBM,28.82,4.07,E9,1.56
HCC,104.35,4.48,E9,0.74
HL,20.85,4.64,E9,1.7
HLF,12.63,4.59,E9,2.86
HNGE,91.31,4.79,E9,0.17
HNRG,16.52,4.48,E9,0.47
HNST,5.44,5.06,E21,1.81
HOOD,115.28,5.79,E9,1.9
HSAI,18.3,4.4,E9,1.73
HTFL,46.67,6.24,E9,2.96
IAUX,1.77,4.25,E9,0.66
IBRX,8.06,4.52,E9,0.19
IE,10.9,6.08,E9,2.31
INBX,112.86,9.27,E21,1.19
INFQ,13.26,6.99,E9,1.16
IOVA,8.43,6.96,E9,0.03
KOS,2.87,4.84,E9,1.0
LB,86.91,4.33,E9,0.29
LBRX,47.67,4.74,E9,1.17
LCLN,26.31,4.25,E9,1.27
MDXH,0.69,13.53,E21,1.54
MLAB,123.91,4.47,E9,1.31
MMED,22.76,5.16,E9,1.97
MRX,75.72,5.06,E9,1.61
MSTR,132.7,6.48,E9,0.55
MUX,20.26,4.12,E9,0.1
NCNO,21.73,4.43,E9,1.22
NEO,17.66,4.51,E9,1.03
NESR,34.7,4.33,E9,0.65
NEXT,7.54,4.49,E9,1.55
NMAX,10.62,6.81,E9,0.42
NTSK,14.46,6.32,E9,0.75
NU,15.0,4.22,E9,0.48
NUTX,197.68,5.28,E9,2.7
NVAX,9.85,6.01,E9,0.17
NWL,6.0,4.79,E9,0.46
NXE,10.64,4.25,E9,0.41
OMER,19.39,5.0,E9,2.5
OOMA,22.84,5.53,E9,1.12
OSCR,31.76,5.77,E9,0.65
PBF,76.51,5.41,E9,2.77
PBLS,38.76,5.84,E9,0.81
PD,13.58,4.3,E9,0.97
PEGA,35.03,4.04,E9,0.58
PGY,21.6,5.2,E9,0.43
PNRG,214.89,4.95,E9,0.4
PPTA,24.76,4.54,E9,0.52
PRGO,14.34,4.0,E9,0.27
PSNL,16.4,4.71,E9,1.78
PURR,12.03,10.98,E9,2.46
PVLA,151.34,5.05,E9,0.19
QMCO,24.24,9.56,E9,1.9
RDVT,74.4,4.19,E9,0.69
RHLD,135.04,5.83,E9,0.09
RNG,69.64,4.39,E9,1.36
SA,32.32,5.09,E9,0.86
SBET,8.54,6.11,E9,0.91
SCSC,56.96,4.2,E9,0.09
SGMT,10.86,5.57,E9,1.42
