Ticker,Price,ADR,Support,Dist
AAMI,80.62,4.17,E9,2.96
ABCL,6.74,9.53,E21,0.15
ABVX,134.91,6.46,E9,0.83
ACHV,6.31,7.9,E9,1.58
ACRS,5.43,5.91,E9,0.22
ADPT,21.43,6.51,E9,2.15
AFRM,84.45,5.02,E9,2.25
AGIO,39.92,4.64,E9,0.44
AGYS,104.26,4.76,E9,2.32
AIIO,3.99,18.53,E9,2.59
ALGN,178.46,4.42,E9,0.43
ALMR,27.05,7.67,E9,1.9
ALMS,27.28,6.8,E9,2.19
ALTO,5.62,7.06,E9,0.65
AMAT,595.7,6.33,E9,0.06
AMBQ,85.48,7.59,E9,2.3
AMD,548.13,5.67,E9,1.59
AMLX,18.2,6.08,E9,2.03
AMN,32.5,5.17,E9,1.05
ANET,182.57,5.27,E9,2.81
ANF,92.87,4.41,E9,2.29
APEI,58.04,4.13,E9,0.97
APPF,174.46,4.4,E9,0.87
APPN,25.18,5.42,E9,2.0
ARCB,151.58,4.28,E9,2.55
ARHS,7.83,5.58,E9,1.11
AROC,38.53,4.38,E9,0.17
ARQT,26.81,4.67,E9,1.39
ASAN,7.46,6.06,E9,1.51
ATEN,37.64,4.22,E9,2.02
ATLC,97.83,6.63,E9,0.29
AVAH,9.34,4.42,E9,0.25
AVTX,18.42,7.75,E9,2.11
AXON,547.26,6.26,E9,2.61
AYA,20.04,6.16,E9,2.53
AZTA,25.44,4.67,E9,0.36
BB,11.01,8.36,E9,0.54
BBAR,20.05,5.7,E9,0.25
BBNX,16.86,7.16,E9,1.65
BCAX,28.1,5.9,E9,1.37
BFLY,7.75,11.12,E9,1.43
BH,384.81,5.79,E9,1.74
BHVN,14.94,7.22,E21,1.85
BILL,41.37,4.72,E9,2.92
BIOA,22.78,7.89,E9,1.54
BLFS,28.65,4.78,E9,2.24
BLLN,124.87,6.06,E9,2.11
BLMN,8.31,5.84,E9,0.01
BMA,92.16,4.83,E9,0.36
BOBS,15.6,6.83,E9,0.37
BRBR,12.1,7.33,E21,1.82
BRKR,59.83,4.21,E9,0.54
BWIN,26.51,6.45,E9,0.04
CADL,9.87,6.68,E9,1.28
CARG,34.05,4.51,E9,0.0
CCTG,0.89,28.26,E9,1.37
CCXI,15.97,9.13,E9,2.89
CDNA,28.93,5.15,E9,1.52
CERT,6.67,6.88,E9,0.01
CGEM,17.77,6.6,E9,0.67
CGON,71.77,5.65,E9,0.38
CHYM,21.46,6.08,E9,2.9
CLBT,16.18,4.67,E9,2.38
CLDX,38.17,4.47,E9,0.19
CLOV,4.82,5.78,E9,0.25
CLYM,13.24,7.37,E9,0.65
CMPR,98.52,4.61,E9,0.74
CMPS,13.39,7.8,E9,0.31
COGT,38.51,4.22,E9,0.4
