Ticker,Price,Gain,Vol
AIXI,7.41,5.26,2.1
AKAN,19.1,7.61,16.4
AKTS,22.63,9.38,4.7
AMPG,8.78,17.07,55.4
ARQQ,19.94,11.27,16.0
ASBP,6.19,9.56,4.1
AUNA,5.27,5.61,2.1
BBWI,21.07,8.27,120.2
BNAI,21.97,14.55,18.7
CARG,29.78,6.59,43.5
CERT,6.05,16.12,22.6
CPNG,18.03,5.25,464.3
CRWV,117.03,9.67,3068.5
CYTK,75.21,5.37,133.7
EDSA,6.27,5.56,2.6
ENTA,12.07,5.51,2.4
EOSE,6.81,6.74,174.7
EQPT,22.34,5.18,37.5
ESAB,102.5,5.98,68.2
EYPT,12.88,6.62,13.9
FBYD,15.74,6.21,1.4
FCEL,19.75,12.86,232.2
FNGD,35.12,6.26,23.2
FRMI,7.88,5.35,113.0
GHM,113.45,5.47,30.4
GMTL,16.65,8.12,3.3
GRND,13.36,5.78,20.9
HLNE,87.22,6.38,87.2
HNRG,17.3,5.17,12.6
INOD,107.42,7.79,184.1
INTG,36.36,9.35,2.1
JLHL,23.95,12.92,1.1
KEEL,5.96,5.3,285.8
KRMN,51.7,7.11,193.0
LION,16.36,13.85,60.2
MAKO,8.39,5.67,1.5
MGNI,18.55,10.75,43.2
MOVE,20.76,7.23,1.2
MRNA,55.4,6.27,276.8
MWH,34.48,7.15,79.3
NXTS,5.82,5.05,2.0
OPFI,8.78,6.3,5.7
PAR,15.49,5.45,19.6
PCLA,5.85,21.87,21.1
PRCH,11.4,8.57,14.8
PURR,10.04,7.49,197.6
QH,9.46,13.02,10.7
RAIL,8.79,7.59,1.3
RBLX,49.34,8.06,475.3
RNAC,9.05,5.23,3.1
RRGB,6.05,22.97,3.0
RVI,44.54,9.65,34.2
SCZM,7.97,5.56,4.6
SHAZ,76.68,9.22,51.8
SLBT,8.89,166.97,15.5
SLP,18.24,11.42,5.2
SSRM,31.83,9.99,73.1
TDIC,7.6,39.96,26.0
TLN,406.51,5.26,301.3
TRT,12.59,5.0,12.2
TRVI,15.4,5.05,15.9
TTWO,229.97,6.35,628.1
TWST,84.95,5.15,128.4
VELO,25.04,8.45,114.5
VIVO,5.73,9.35,11.6
VNCE,6.95,38.72,1.3
VWAV,5.62,15.4,3.0
WATT,27.68,12.8,6.7
WYFI,35.65,18.91,41.6
WYY,12.75,7.5,1.6
YSS,32.49,6.52,60.9
ZSQR,14.87,16.44,3.3
