Ticker,Type
ABTC,Big Move
ACDC,Big Move
ADM,Big Move
ADVB,Big Move
AGEN,Pullback
AKAM,Big Move
AMBA,Pullback
AMIX,Pullback
AMPL,Big Move
ANDG,Pullback
ANF,Big Move
APA,Big Move
AR,Big Move
ASTC,Big Move
ATEN,Big Move
ATRO,Pullback
AVTX,Big Move
BCAR,Big Move
BCAX,Pullback
BCC,Pullback
BETR,Big Move
BLLN,Big Move
BMNR,Pullback
BMRN,Big Move
BRKR,Big Move
BRZE,Big Move
BVS,Pullback
BWIN,Pullback
BWMN,Big Move
BZ,Big Move
CADL,Pullback
CARG,Pullback
CCB,Big Move
CCSI,Big Move
CERT,Pullback
CF,Big Move
CHRD,Big Move
CHTR,Pullback
CHYM,Big Move
CLB,Big Move
CLBT,Pullback
CLMT,Big Move
CMCO,Pullback
CNC,Pullback
CNR,Big Move
COHR,Pullback
COMP,Pullback
CRGY,Big Move
CRK,Big Move
CRWD,Big Move
CSIQ,Pullback
CTOS,Pullback
CVSA,Pullback
DAR,Big Move
DASH,Pullback
DBGI,Big Move
DBVT,Big Move
DCO,Pullback
DCTH,Big Move
DDOG,Pullback & Big Move
DFTX,Pullback
DINO,Pullback
DVN,Big Move
ECPG,Pullback
ELVN,Pullback
ENR,Pullback
EOG,Big Move
EQNR,Big Move
ERIE,Pullback
EROK,Big Move
ETN,Pullback
EVC,Pullback
EVER,Pullback
EXE,Big Move
FANG,Big Move
FCUV,Big Move
FET,Big Move
FFIV,Pullback
FIG,Pullback & Big Move
FLR,Pullback
FLYW,Pullback
FND,Pullback
FSLR,Pullback
FSLY,Big Move
FTH,Big Move
FTI,Big Move
FTK,Big Move
FTRE,Pullback
GAP,Big Move
GDDY,Pullback
GFR,Big Move
GLSI,Big Move
GMTL,Big Move
GPK,Pullback
GRDN,Pullback
HAL,Big Move
HELE,Pullback
HNRG,Big Move
HP,Big Move
HPK,Big Move
HZO,Big Move
IBP,Pullback
IMAX,Big Move
INBX,Big Move
INHD,Big Move
INLF,Big Move
INR,Big Move
IPI,Big Move
IRTC,Pullback
JBIO,Pullback
JBL,Pullback
JUNS,Big Move
KAI,Pullback
KMTS,Big Move
KOD,Pullback
KOS,Pullback
KVYO,Pullback & Big Move
LB,Big Move
LBRT,Big Move
LFST,Big Move
LIND,Pullback
LITE,Pullback
LYB,Big Move
MAAS,Big Move
MBC,Pullback
MLKN,Pullback
MNDY,Pullback
MNPR,Pullback
MPC,Big Move
MRCY,Pullback
MTDR,Big Move
MUR,Big Move
MUSA,Big Move
NBR,Big Move
NE,Big Move
NEGG,Big Move
NESR,Big Move
NEXA,Big Move
NHC,Pullback
NKTR,Pullback
NOV,Big Move
NSLR,Big Move
NUVB,Pullback
NVCR,Big Move
NVEC,Pullback
NVT,Pullback
NWL,Pullback
NXTC,Big Move
OBE,Big Move
OII,Big Move
OIS,Big Move
OPY,Pullback
ORKA,Big Move
OUST,Pullback
OVV,Big Move
P,Big Move
PANW,Big Move
PARR,Big Move
PAVS,Big Move
PBF,Big Move
PCTY,Pullback
PCVX,Pullback
PDS,Big Move
PHVS,Pullback
PKE,Pullback
PLUS,Pullback
PNRG,Big Move
POOL,Pullback
PR,Big Move
PRCH,Pullback
PRCT,Big Move
PSX,Big Move
PTEN,Big Move
PUMP,Big Move
PVLA,Pullback
PWP,Pullback
QDEL,Big Move
QMCO,Pullback
QUBT,Pullback
REPL,Big Move
REPX,Big Move
RH,Pullback
RIG,Big Move
ROCK,Pullback
RRC,Big Move
SCCO,Big Move
SD,Big Move
SDRL,Big Move
SGLY,Big Move
SGMT,Big Move
SHAZ,Big Move
SLB,Big Move
SLN,Big Move
SM,Big Move
SMJF,Big Move
SMMT,Big Move
SOC,Big Move
SOFI,Pullback
SXC,Pullback
SXI,Pullback
TALO,Big Move
TBN,Big Move
TDW,Big Move
TECX,Big Move
TGB,Big Move
THC,Pullback
TMDX,Big Move
TNON,Big Move
TRAX,Big Move
TREX,Pullback
TRUP,Big Move
TSHA,Pullback
TVTX,Pullback
UPC,Big Move
VAL,Big Move
VEEE,Big Move
VET,Big Move
VG,Big Move
VLO,Big Move
VREX,Big Move
VRTX,Big Move
VSAT,Big Move
W,Pullback
WBTN,Big Move
WFRD,Big Move
WHR,Pullback
WYHG,Big Move
XPEL,Pullback
XPRO,Big Move
ZYBT,Pullback
