Ticker,Type
AAOI,Big Move
ABSI,Pullback
ACHR,Pullback
ACN,Pullback
ACOG,Big Move
ACVA,Pullback
ADBE,Pullback
ADPT,Pullback
AEHL,Big Move
AGEN,Pullback
AGYS,Pullback
AI,Pullback
ALLO,Pullback
ALM,Big Move
ANDG,Big Move
ARHS,Pullback
AVTX,Pullback
AXON,Pullback
AYA,Pullback
BAH,Pullback
BALY,Big Move
BAX,Pullback
BBW,Pullback
BETA,Pullback
BOXL,Pullback & Big Move
BUUU,Big Move
BVN,Pullback
BVS,Pullback
CACI,Pullback
CARL,Big Move
CF,Big Move
CGON,Pullback
CHYM,Pullback
CIFR,Big Move
CLMT,Pullback
CLRO,Big Move
CLSK,Big Move
CMPS,Pullback
CNH,Big Move
CNMD,Pullback
CNXC,Pullback
CNXU,Big Move
COTY,Pullback
CSGP,Pullback
CVI,Pullback
CWK,Pullback
DCTH,Pullback
DE,Big Move
DERM,Big Move
DINO,Pullback
DMRA,Pullback
DOCU,Pullback
DQ,Big Move
DRUG,Pullback
ERIE,Pullback
ERO,Big Move
EWTX,Pullback
FCUV,Big Move
FIRY,Big Move
FOXF,Pullback
GCT,Pullback
GEO,Pullback
GERN,Pullback
GKOS,Pullback
GO,Pullback
GRAL,Big Move
GTLB,Pullback
HCWC,Pullback
HELP,Big Move
HNST,Pullback
HUT,Big Move
HYMC,Pullback
IBP,Pullback
IBRX,Pullback
IBTA,Pullback
IMAX,Pullback
IMCR,Pullback
IMNM,Pullback
IPST,Big Move
JWEL,Pullback
KIDZ,Big Move
KNSA,Pullback
KYMR,Pullback
LB,Big Move
LBRX,Pullback
LIF,Big Move
LITE,Pullback & Big Move
MBC,Pullback
MMED,Pullback
MP,Pullback
NDSN,Big Move
NEOG,Pullback
NHP,Pullback
NRGV,Pullback
NRIX,Pullback
NUVB,Pullback
NVCR,Pullback
OMDA,Pullback
ORIC,Pullback
OSCR,Pullback
PAR,Pullback
PBF,Pullback
PCLA,Big Move
PCVX,Pullback
PD,Pullback
PEGA,Pullback
PLTR,Pullback
PPTA,Pullback
PRAX,Pullback
PRLD,Big Move
Q,Big Move
QDEL,Big Move
QMCO,Pullback
QNST,Pullback
RAPP,Pullback
RCUS,Pullback
REPL,Pullback
RGNX,Pullback
RHLD,Big Move
RIOT,Big Move
RNG,Pullback
RTB,Big Move
RVMD,Pullback
RXRX,Pullback
RYAN,Pullback
SCSC,Big Move
SGMT,Pullback
SOC,Big Move
SPSC,Pullback
STOK,Pullback
SXTC,Pullback
SYRE,Pullback
TARS,Pullback
TMDX,Pullback
TNDM,Pullback
TPG,Pullback
TTAN,Pullback
TVTX,Pullback
UEC,Pullback
URGN,Pullback
UROY,Pullback
VGNT,Pullback
VOYG,Pullback
VSTM,Pullback
W,Pullback
WETO,Big Move
WIX,Big Move
WRBY,Pullback
WULF,Big Move
WWW,Pullback
WYHG,Big Move
XERS,Pullback
XPEL,Pullback
XPRO,Pullback
Z,Pullback
ZENA,Pullback
ZG,Pullback
ZSTK,Big Move
ZVRA,Pullback
