Ticker,Price,Gain,Vol
AAOI,129.1,5.66,1621.0
ABTC,8.47,7.22,9.3
ACOG,9.5,6.86,1.2
AEHL,6.35,11.99,1.7
ALM,17.69,9.33,103.6
ANDG,50.32,11.77,27.0
ARCT,10.99,6.91,7.3
ASST,16.13,9.5,43.8
AU,115.14,6.08,252.4
AUPH,17.27,6.8,19.7
BALY,9.82,11.09,1.1
BLSH,28.44,5.65,42.1
BMNR,21.57,6.57,626.5
BOXL,5.97,14.59,29.4
BTDR,10.43,8.31,153.4
BTGO,6.6,5.6,8.0
BUUU,31.0,9.15,2.1
CAI,24.58,8.0,97.8
CARL,16.5,6.31,2.3
CF,125.7,5.61,277.7
CIFR,17.21,8.31,671.6
CLRO,5.58,11.6,40.5
CLSK,12.6,7.97,273.9
CNH,10.95,6.41,182.1
CNXU,9.43,5.25,1.7
COIN,172.35,7.58,1325.0
CRCL,83.66,6.45,837.0
DE,620.94,6.94,695.3
DERM,7.49,9.99,1.5
DQ,14.98,6.62,15.0
DRD,29.51,6.04,6.8
ERO,36.02,5.69,42.4
FCUV,8.78,7.6,69.1
FIRY,10.24,5.68,12.8
GLXY,23.47,7.17,144.3
GRAL,77.97,5.42,54.1
HELP,12.47,5.86,18.0
HUT,88.65,8.0,456.2
IOVA,8.99,12.52,122.6
IPST,10.31,22.01,68.5
KGC,31.43,5.12,214.8
KIDZ,5.04,5.44,12.6
LB,87.03,5.88,26.3
LIF,45.82,6.09,55.5
LITE,879.28,6.24,4361.2
MARA,11.15,15.54,475.8
MF,18.11,22.36,4.4
MOS,23.35,5.04,179.4
MRVI,8.29,14.82,21.8
MRVL,251.01,5.79,4970.2
MSTR,112.39,7.81,1900.3
NDSN,334.7,8.0,119.2
NXTT,8.0,20.48,3.0
PCLA,8.49,32.66,5.0
PRLD,6.5,12.46,2.7
PRPO,29.43,5.67,3.1
PSNL,16.88,6.77,47.5
PURR,10.08,7.35,94.0
Q,133.52,5.93,269.6
QDEL,14.85,7.61,24.4
RHLD,124.61,5.75,21.4
RIOT,20.98,8.26,468.5
RTB,14.23,6.83,1.1
SBET,7.59,7.2,52.4
SCSC,56.39,9.67,15.4
SOC,5.07,6.07,43.1
TEM,66.65,8.82,338.5
USAU,16.58,5.87,3.6
WETO,27.52,32.59,98.0
WIX,82.39,5.78,129.1
WULF,16.45,6.13,566.1
WYHG,5.71,23.86,37.9
XXI,6.19,11.53,7.5
ZSTK,5.89,18.75,6.5
