Ticker,Price,Gain,Vol
RILY,8.18,8.34,8.9
RIVN,16.81,7.55,529.8
RKLB,98.01,15.93,3139.5
RLAY,19.74,6.36,79.1
RMBS,123.9,7.99,501.3
RNG,39.09,5.14,62.1
RTB,14.59,26.1,2.5
RVMD,192.62,5.79,591.5
RXT,6.57,9.95,136.3
S,16.73,5.15,112.3
SATL,5.64,22.08,62.4
SDOT,35.85,67.13,107.0
SEDG,55.36,6.98,163.8
SERV,6.35,5.66,45.1
SGMT,7.79,10.34,9.4
SHMD,6.14,7.34,6.6
SIMO,331.94,8.73,310.1
SITM,710.47,5.69,472.8
SLN,10.79,6.41,4.3
SLS,15.45,24.7,94.7
SMHI,8.02,6.23,1.2
SMWB,6.18,10.36,4.9
SNWV,9.85,14.4,2.2
SPIR,17.65,8.35,29.0
SSSS,12.77,7.76,4.3
SSTI,8.81,7.57,1.6
STRC,83.67,12.2,412.4
STRD,56.25,5.18,13.5
STRF,91.98,9.02,23.3
STRK,59.49,10.6,13.0
STRO,33.35,9.27,12.0
STTK,6.85,6.37,9.9
STX,968.53,7.63,4437.1
SWMR,48.4,18.02,34.5
TE,8.88,8.16,349.2
TENB,33.49,10.82,94.8
TER,463.21,6.03,2234.8
TLX,11.3,6.0,2.2
TPL,419.98,6.11,168.9
TREE,42.76,5.11,10.8
TSAT,46.0,9.19,16.3
TSHA,6.73,6.15,22.4
TSLA,411.84,8.46,19180.9
TSM,455.1,5.26,6305.8
TSSI,12.0,6.01,15.5
UBXG,7.5,5.19,21.3
UCTT,130.7,10.0,149.0
UNCY,7.7,7.99,11.2
UPC,12.18,311.49,36.5
VBNK,20.46,6.12,2.0
VCX,86.46,6.03,41.3
VELO,18.4,10.58,127.9
VIA,18.67,6.81,22.2
VICR,366.79,12.19,287.5
VOR,18.6,15.53,21.7
VPG,142.09,11.16,78.0
VSAT,76.69,23.79,214.4
WBI,33.3,7.18,67.7
WDC,651.88,11.16,6510.0
WEN,8.26,5.83,212.3
WSHP,8.82,10.25,5.3
WTO,6.7,7.89,3.4
XPEV,12.8,5.87,109.0
XZO,17.04,6.97,3.4
ZURA,5.63,5.23,7.1
