Ticker,Price,ADR,Support,Dist
ABCL,10.89,6.37,E9,1.39
AGRO,11.77,4.65,E9,0.53
AI,10.54,4.56,E9,0.67
ALT,3.27,4.62,E9,0.03
AMR,209.41,5.6,E21,0.84
ANF,145.23,5.09,E9,1.19
ARCT,14.73,11.03,E9,0.88
AUGO,87.08,4.74,E9,1.8
AUR,6.43,5.51,E9,2.73
AVAH,14.08,4.64,E9,2.79
AYA,27.97,5.81,E9,1.79
BIVI,1.93,17.16,E21,1.28
BKKT,8.18,8.37,E9,1.43
BLSH,35.12,6.44,E9,2.8
BLTE,173.79,4.71,E9,0.45
BMNR,25.03,6.81,E9,2.45
BTBT,1.59,9.25,E9,0.91
BTCT,1.45,28.65,E21,0.15
BTDR,11.96,8.08,E9,2.33
BTU,28.21,4.21,E9,1.69
BULL,9.22,6.02,E9,1.2
BXC,79.76,4.69,E9,0.09
CAI,24.34,5.32,E9,1.19
CDE,20.58,4.58,E9,1.05
CDNA,50.26,4.94,E9,0.54
CHA,12.24,4.16,E9,2.61
CHYM,33.0,4.01,E9,0.3
CLF,12.06,5.35,E9,0.34
CMPS,14.35,5.3,E9,1.95
CNH,13.58,4.63,E9,2.16
CNXC,28.24,7.13,E9,0.65
COIN,175.26,5.62,E9,0.57
CRCL,90.6,7.1,E9,2.14
CRK,14.78,4.43,E9,1.15
CSTL,32.33,5.06,E9,0.52
DXYZ,32.11,6.07,E9,0.11
EFOR,31.47,5.09,E9,0.76
EWTX,44.4,4.76,E9,2.46
EZPW,32.47,4.35,E9,0.79
FET,83.02,4.56,E9,2.47
FIVE,244.6,4.05,E9,0.6
FRHC,165.5,4.74,E9,0.31
FTH,37.44,9.98,E9,0.56
FWDI,6.55,8.66,E9,2.43
GCT,51.87,4.7,E9,0.94
GEMI,4.46,9.83,E9,0.36
GLXY,24.4,7.01,E9,1.11
GPRK,11.48,4.54,E9,0.31
GTLB,46.99,4.68,E9,0.38
HELP,12.97,7.1,E9,2.59
HIVE,3.03,7.56,E9,1.17
HL,19.78,4.75,E9,0.43
HNST,5.41,5.08,E9,1.18
HOOD,112.57,5.82,E9,0.42
IAUX,1.75,4.07,E9,0.73
IMRN,1.45,8.08,E9,2.12
INFQ,13.12,6.66,E9,0.25
INTR,5.71,4.48,E9,1.28
IOVA,8.6,7.0,E9,2.15
IREN,43.83,6.91,E9,1.94
KGS,63.85,4.35,E9,2.25
LCLN,26.53,4.24,E9,1.58
LITE,927.03,7.03,E9,0.47
MDXH,0.7,13.46,E9,0.47
MLYS,28.2,5.09,E9,1.14
MMED,22.5,5.18,E9,0.56
MOS,25.19,4.27,E9,0.03
MRNA,143.97,11.1,E9,2.26
MRX,73.0,4.49,E9,1.09
MSTR,130.97,6.59,E9,0.2
MU,975.26,4.2,E9,0.34
NBIS,224.55,6.27,E9,0.19
NCI,12.97,7.36,E9,0.16
NEO,17.32,4.64,E9,0.85
NET,306.53,5.2,E9,2.88
NEXT,7.64,4.52,E9,1.77
NOW,132.53,4.32,E9,0.5
NTSK,14.7,6.36,E9,1.09
NUTX,200.24,4.99,E9,2.97
NVAX,9.42,6.37,E9,1.27
OABI,4.07,8.16,E21,0.05
OKTA,166.5,5.25,E9,0.07
OMER,18.28,4.68,E9,2.44
OOMA,22.77,5.28,E9,0.59
ORCL,150.28,4.28,E9,0.17
OSCR,32.77,5.76,E9,2.53
PLSE,53.11,7.6,E9,1.99
PNRG,211.11,4.66,E9,0.79
PSNL,16.21,4.66,E9,0.56
PTEN,12.85,4.29,E9,1.48
PURR,11.61,11.63,E9,0.11
QMCO,23.58,8.89,E9,0.19
QNRX,6.79,12.88,E9,0.57
RIOT,21.47,7.36,E9,2.31
RNG,68.92,4.16,E9,1.56
RSKD,6.09,4.73,E9,0.05
SCSC,58.19,4.44,E9,2.07
SGMT,10.88,5.67,E9,0.75
SNDK,1633.35,6.2,E9,0.8
SNOW,328.99,4.05,E9,0.44
SPCX,151.21,4.73,E9,2.67
SPSC,82.68,4.01,E9,2.18
SPT,10.8,4.89,E9,0.21
SRPT,20.45,6.86,E21,0.76
TARS,79.31,4.35,E9,1.79
TEAM,179.7,4.95,E9,0.82
TH,19.25,5.39,E9,1.4
TIC,9.56,4.26,E9,1.5
TRLV,11.31,6.14,E9,2.14
UROY,4.36,5.35,E9,1.89
VERA,35.05,5.16,E9,1.45
VIR,10.62,5.74,E9,0.76
VRNS,45.12,4.26,E9,0.02
VYX,8.55,5.84,E9,0.27
VZLA,3.97,4.56,E9,1.04
WGS,85.26,4.82,E9,0.29
WWW,19.93,4.01,E9,0.59
XP,19.86,4.22,E9,2.69
ZETA,30.18,4.45,E9,1.15
