Ticker,Type
AAL,Big Move
AAOI,Big Move
AARD,Big Move
ABTC,Big Move
ACRS,Big Move
ACVA,Pullback
ADUR,Big Move
AEHR,Big Move
AFRM,Big Move
AI,Big Move
AIRJ,Big Move
AIRO,Big Move
ALGT,Big Move
ALIT,Big Move
ALK,Big Move
ALM,Big Move
ALMR,Big Move
ALNY,Big Move
ALOY,Big Move
ALT,Pullback
AMPL,Big Move
AMPX,Big Move
AMRC,Big Move
AMSC,Big Move
ANF,Big Move
APAM,Big Move
APEI,Big Move
APLD,Big Move
APOG,Big Move
APPF,Big Move
APPS,Big Move
ARES,Big Move
ARHS,Big Move
ARIS,Big Move
ARQQ,Big Move
ARRY,Big Move
ARTV,Big Move
ASST,Big Move
ASTS,Big Move
ATEC,Big Move
ATKR,Big Move
AUR,Big Move
AVAV,Big Move
AVEX,Big Move
AVR,Big Move
AXGN,Big Move
AXON,Big Move
AZTA,Big Move
BA,Big Move
BAND,Big Move
BAX,Big Move
BBBY,Big Move
BCC,Big Move
BDL,Big Move
BE,Big Move
BFLY,Big Move
BIOA,Big Move
BKE,Big Move
BLDR,Big Move
BLLN,Pullback
BLSH,Big Move
BOBS,Big Move
BOOT,Big Move
BOW,Big Move
BRBR,Pullback
BRUN,Big Move
BTDR,Big Move
BWIN,Big Move
BX,Big Move
BXC,Big Move
CABO,Big Move
CAL,Big Move
CAMT,Big Move
CBOE,Pullback
CCXI,Big Move
CG,Big Move
CHRN,Big Move
CHYM,Big Move
CIFR,Big Move
CLDX,Pullback
CLFD,Big Move
CLMT,Pullback
CLSK,Big Move
CLW,Big Move
CNH,Big Move
CNMD,Big Move
COMP,Pullback
CORZ,Big Move
COUR,Big Move
CRDO,Big Move
CRML,Big Move
CROX,Pullback & Big Move
CRWD,Big Move
CRWV,Big Move
CSTL,Big Move
CSW,Big Move
CTEV,Big Move
CVLT,Big Move
CVNA,Big Move
CVRX,Big Move
CWH,Big Move
DAVE,Pullback & Big Move
DBD,Big Move
DBI,Big Move
DCH,Pullback
DCTH,Big Move
DELL,Big Move
DFIN,Pullback
DFNS,Big Move
DK,Pullback
DNA,Big Move
DOCN,Big Move
DQ,Big Move
DXC,Pullback
EAF,Big Move
EAT,Big Move
ECG,Big Move
EFX,Pullback
EGO,Pullback & Big Move
EH,Big Move
ELVA,Big Move
ELVN,Big Move
ENOV,Big Move
ENTG,Big Move
EQPT,Big Move
ERIE,Pullback
ESAB,Big Move
ESOA,Big Move
FA,Pullback
FAC,Big Move
FBIN,Big Move
FERG,Big Move
FHI,Big Move
FIGR,Big Move
FIRY,Pullback
FIVN,Big Move
FLGT,Big Move
FLY,Big Move
FND,Pullback
FOSL,Big Move
FPS,Big Move
FRHC,Pullback
FRMI,Big Move
FSLR,Big Move
FTAI,Big Move
FTK,Big Move
FUBO,Big Move
FVRR,Big Move
FWRD,Pullback
FXHO,Big Move
GBFH,Big Move
GCMG,Big Move
GDDY,Big Move
GILT,Big Move
GLAS,Big Move
GLW,Big Move
GO,Big Move
GPGI,Big Move
GPK,Big Move
GRAL,Pullback
GRDN,Pullback
GRRR,Big Move
GSHD,Big Move
GSIT,Big Move
GT,Pullback
HAPN,Big Move
HAWK,Big Move
HCKT,Big Move
HELE,Big Move
HIMS,Big Move
HLMN,Big Move
HLNE,Big Move
HNI,Big Move
HNRG,Big Move
HOV,Pullback & Big Move
HPP,Big Move
HQ,Big Move
HRI,Big Move
HRMY,Pullback
HSAI,Big Move
HTFL,Big Move
HYMC,Big Move
IART,Big Move
IBP,Pullback
ICHR,Big Move
IE,Big Move
ILMN,Pullback
IMAX,Big Move
INFQ,Big Move
INTG,Big Move
INTT,Big Move
IONQ,Big Move
IONS,Big Move
IR,Big Move
IREN,Big Move
IRTC,Big Move
ISRG,Big Move
ISSC,Big Move
JBI,Big Move
JEM,Big Move
JHX,Big Move
KAI,Big Move
KKR,Big Move
KMPR,Pullback
KMTS,Big Move
KNF,Big Move
KNSA,Pullback
KOS,Pullback
KSS,Big Move
KTOS,Big Move
LAD,Pullback
LBRX,Big Move
LIFE,Big Move
LIND,Big Move
LITE,Big Move
LMND,Big Move
LMRI,Big Move
LOAR,Big Move
LPG,Pullback
LPTH,Big Move
LTRX,Big Move
LUNR,Big Move
LVWR,Pullback
MASS,Big Move
MBC,Big Move
MBX,Pullback
MCS,Big Move
MDA,Big Move
MDB,Big Move
META,Big Move
MHK,Big Move
MLKN,Big Move
MMED,Big Move
MMYT,Big Move
MP,Big Move
MRAM,Big Move
MRCY,Big Move
MRDN,Big Move
MYE,Big Move
NABL,Big Move
NAVI,Big Move
NBIS,Big Move
NBN,Big Move
NCLH,Big Move
NNE,Big Move
NPK,Big Move
NPKI,Big Move
NPO,Big Move
NSP,Big Move
NTSK,Big Move
NUAI,Big Move
NUCL,Big Move
NVEC,Big Move
NVTS,Big Move
NX,Big Move
OCS,Big Move
ODD,Big Move
OFRM,Big Move
OKLO,Big Move
OMCL,Big Move
OMER,Big Move
ONDS,Big Move
OPFI,Big Move
OPRX,Big Move
OPTX,Big Move
OPY,Pullback & Big Move
ORCL,Big Move
ORKA,Pullback
OSS,Big Move
OWL,Big Move
PACK,Big Move
PARR,Pullback
PAYP,Big Move
PBF,Pullback
PCT,Big Move
PDEX,Big Move
PDYN,Big Move
PHIN,Big Move
PHR,Big Move
PI,Big Move
PII,Pullback & Big Move
PL,Big Move
PLAY,Big Move
PLSE,Big Move
PMI,Big Move
POET,Big Move
POOL,Big Move
POWL,Big Move
PPHC,Big Move
PRCH,Big Move
PRGO,Big Move
PRLB,Big Move
PS,Big Move
PSN,Big Move
PTEN,Pullback
PTRN,Big Move
PURR,Big Move
QBTS,Big Move
QDEL,Big Move
QLYS,Big Move
QUBT,Big Move
QXO,Big Move
RCAT,Big Move
RDDT,Big Move
RDVT,Pullback
RDW,Big Move
RELL,Big Move
RELY,Big Move
REZI,Pullback & Big Move
RGTI,Big Move
RH,Pullback
RHLD,Big Move
RIOT,Big Move
RKLB,Big Move
RKT,Big Move
RM,Big Move
RMIX,Big Move
ROCK,Big Move
ROOT,Big Move
RPC,Big Move
RPD,Big Move
RUM,Big Move
RUN,Big Move
RVI,Big Move
S,Big Move
SAM,Pullback
SBH,Big Move
SEDG,Big Move
SEI,Big Move
SERV,Big Move
SEZL,Big Move
SGML,Big Move
SGRY,Pullback
SHAZ,Big Move
SHLS,Big Move
SITE,Big Move
SLDE,Pullback
SLS,Big Move
SMG,Pullback
SMPL,Big Move
SMR,Big Move
SNAP,Big Move
SNDK,Big Move
SOFI,Big Move
SONO,Pullback & Big Move
SPIR,Big Move
SPRY,Big Move
SRI,Big Move
SRPT,Big Move
SRTA,Big Move
SSRM,Big Move
SSTK,Big Move
STEP,Big Move
STUB,Big Move
SUJA,Big Move
SVCO,Big Move
SWIM,Big Move
SXI,Big Move
SYM,Big Move
TALO,Pullback
TBBK,Big Move
TBI,Big Move
TCMD,Big Move
TDUP,Big Move
TENB,Big Move
TGLS,Big Move
TIC,Big Move
TITN,Big Move
TMDX,Big Move
TNET,Big Move
TNXP,Big Move
TOI,Big Move
TPB,Big Move
TPG,Big Move
TRDA,Big Move
TSAT,Big Move
TSEM,Big Move
TSSI,Big Move
TTRX,Big Move
TWST,Big Move
U,Big Move
UAL,Big Move
UAMY,Big Move
UCTT,Big Move
UFPI,Big Move
UFPT,Big Move
ULCC,Big Move
UMAC,Big Move
UPC,Big Move
UPST,Big Move
UPWK,Pullback
USAR,Big Move
USAU,Big Move
UTI,Big Move
UUUU,Big Move
VCX,Big Move
VELO,Big Move
VGNT,Pullback
VMC,Big Move
VOYG,Big Move
VRDN,Pullback
VREX,Big Move
VRRM,Big Move
VRTS,Big Move
VSAT,Big Move
VSEC,Big Move
VST,Big Move
VVX,Pullback
W,Pullback & Big Move
WATT,Big Move
WAY,Pullback & Big Move
WBUY,Pullback
WCC,Big Move
WLDN,Big Move
WRBY,Big Move
WSC,Big Move
WT,Big Move
WULF,Big Move
WW,Big Move
WYFI,Big Move
XE,Big Move
XNDU,Big Move
XRAY,Big Move
ZSQR,Big Move
ZVRA,Big Move
