Ticker,Price,Gain,Vol
AAL,17.44,8.05,1815.6
AAP,57.94,5.71,109.0
ABCL,6.03,7.1,38.6
ABSI,10.07,35.96,56.7
ACHV,5.3,5.79,9.9
ADPT,19.34,12.25,60.7
ADV,43.67,9.64,4.7
AFRM,77.66,8.12,337.2
AGMB,12.68,6.2,1.2
AGNT,5.22,9.66,6.9
AGYS,92.31,6.88,30.6
AKTS,28.7,6.26,6.9
ALKT,15.95,5.98,28.4
AMPH,21.02,7.63,12.6
ANF,88.83,5.47,132.8
ANGI,5.29,9.52,7.1
AORT,22.03,6.53,16.4
APPS,10.14,9.5,92.8
ARHS,7.83,10.75,8.1
ASBP,6.54,6.0,4.2
AXON,456.73,5.47,527.4
AZTA,23.86,7.48,22.1
BBNX,14.73,7.75,13.8
BBW,32.58,5.92,15.2
BBWI,21.81,5.26,123.8
BCC,77.66,8.16,28.3
BCRX,10.0,7.41,40.3
BGSI,95.05,5.34,5.0
BIRK,45.09,6.47,117.9
BKD,14.69,6.14,57.7
BKNG,181.25,7.29,1430.9
BLDR,85.41,11.31,214.6
BNTC,13.63,5.82,1.1
BOBS,14.39,9.18,11.0
BRBR,11.91,5.68,57.6
BRCB,7.53,5.76,5.2
BRKR,58.44,6.04,171.7
BXC,60.7,10.87,6.8
CAL,12.97,5.7,9.8
CAVA,82.24,6.02,247.5
CBT,91.89,5.03,51.4
CC,21.17,6.06,48.5
CCS,69.21,10.24,22.3
CCXI,11.99,15.07,8.3
CDNA,27.13,8.0,21.6
CDNL,81.94,12.66,36.8
CELC,96.38,6.84,177.9
CHWY,19.01,6.5,210.7
CLW,16.82,7.68,3.9
COMP,10.65,7.68,119.6
COOK,78.49,14.17,4.0
COUR,6.09,12.57,42.8
CRL,202.1,8.31,146.9
CSL,378.53,7.27,126.1
CTNM,12.82,7.64,2.9
CUPR,5.74,45.69,45.6
CWST,91.24,5.87,56.6
CYRX,15.52,5.15,15.2
DFH,16.73,13.42,9.7
DFTX,42.13,16.45,120.1
DHI,166.51,6.68,356.7
DHR,188.87,5.53,767.5
DLTR,119.35,5.24,426.8
DNA,9.73,9.82,11.5
DRVN,13.19,5.94,13.8
EBS,8.43,5.24,8.1
EWTX,42.3,8.94,68.5
EXP,233.65,5.68,98.3
EXPE,262.15,6.97,387.3
FBIN,44.65,9.84,95.3
FIGS,11.78,6.8,32.4
FLGT,19.13,5.23,8.0
FLYW,16.54,5.96,36.5
FND,56.94,10.65,135.8
FNKO,5.65,5.02,3.5
FOR,30.93,5.28,4.2
FOUR,44.22,14.35,72.9
FOXF,18.51,5.47,9.8
FWRG,12.08,8.34,13.8
GDDY,81.33,6.87,299.8
GENB,16.23,5.18,12.9
GFF,94.86,5.01,31.0
GHM,115.32,5.06,33.6
GLBE,34.05,5.84,58.8
GLW,205.83,6.06,2609.8
GPCR,48.16,5.59,35.2
GPK,10.77,5.28,80.1
GRAL,64.58,5.68,55.6
GRBK,80.22,7.61,17.9
GRPN,18.32,9.31,27.4
GSHD,43.4,8.34,21.7
GT,6.29,6.61,52.8
HAYW,15.76,6.41,32.6
HD,342.86,5.67,1712.2
HELE,27.92,7.47,14.2
HLMN,8.2,5.46,14.3
HNI,37.33,8.99,23.7
HOV,141.91,11.31,13.6
HZO,37.08,6.58,10.0
IBP,223.3,5.99,96.1
IBRX,7.8,6.56,89.8
ICCM,9.3,51.96,64.5
ICLR,158.17,10.86,183.7
ICUI,142.95,5.48,40.5
IESC,747.49,5.2,153.0
ILMN,175.09,6.16,343.5
INMD,14.79,10.79,10.6
INTG,46.4,6.86,3.0
IQV,185.62,8.37,305.7
JACK,13.35,15.28,9.6
JAN,28.58,5.7,50.7
JBI,5.56,5.9,11.1
JHX,25.82,6.34,198.1
KBH,61.51,16.65,80.8
KMTS,22.08,6.72,5.9
KRUS,52.64,11.86,22.8
KSS,18.91,7.87,102.8
LAKE,10.97,5.28,2.0
LEN,92.95,6.41,276.8
LGIH,61.44,9.6,21.3
LIF,49.42,5.28,34.4
LIFE,18.1,18.61,7.5
LII,551.75,5.38,187.9
LILA,6.6,10.92,5.8
LMRI,9.98,5.83,6.4
LOVE,16.03,9.87,3.3
LPX,79.69,7.44,79.8
M,25.34,5.8,183.1
MANE,117.29,13.21,55.0
MAS,78.05,6.61,166.9
MBC,9.34,11.72,37.9
MDWD,14.85,5.54,1.7
MEDP,512.79,8.3,134.8
MHK,119.09,9.6,76.0
MHO,158.83,6.85,35.9
MLKN,17.24,7.35,13.9
MMYT,51.68,10.97,51.6
MNPR,88.99,8.83,9.5
MPLT,30.65,7.02,11.5
MRVI,5.76,7.26,14.5
MTH,82.39,8.98,71.9
MWH,34.46,5.61,78.6
MYE,29.72,6.45,9.7
MYGN,5.22,12.74,7.6
NAVI,8.43,5.64,11.5
NEO,12.9,12.47,32.9
NTRA,259.97,10.74,339.1
NUVB,6.46,6.95,25.1
NVCT,24.48,39.49,3.1
NVR,6764.83,5.87,212.1
NWL,5.51,7.62,49.8
NX,17.77,7.31,7.5
OC,134.17,8.1,132.3
OI,9.57,5.28,27.9
OLMA,11.14,5.79,18.4
ONON,36.92,5.07,193.4
ONT,17.8,5.95,11.6
ORIC,9.43,5.84,16.1
OSG,6.47,7.12,2.8
OWLT,5.6,6.06,1.5
PACK,7.64,5.82,3.9
PAR,16.38,6.5,20.4
PAY,21.73,5.69,19.9
PHM,135.71,7.24,214.3
PLAY,12.09,7.28,27.1
PLSM,6.59,93.26,19.1
POOL,205.36,5.4,243.5
PRIM,92.69,9.11,282.4
PSNL,11.36,12.92,34.7
PTON,5.73,5.33,64.9
PVLA,129.84,9.4,30.5
REAL,12.86,5.32,33.9
RELY,21.45,5.15,91.2
REYN,25.73,5.06,24.9
RGEN,138.4,9.52,127.7
RH,156.54,10.44,148.5
RKT,14.73,9.35,414.7
ROCK,43.19,9.86,15.3
ROIV,34.01,5.59,173.9
RPD,7.08,5.2,15.1
RRGB,6.62,12.2,1.9
RUN,14.42,12.57,149.6
RVLV,22.94,8.46,21.3
RVTY,105.63,5.74,146.8
SBH,14.32,7.51,19.5
SDHC,14.34,8.31,1.2
SEG,27.02,5.38,1.8
SEZL,159.27,5.05,90.4
SG,8.9,7.36,49.1
SHC,16.69,5.37,41.4
SHOP,114.17,6.03,1052.9
SITE,111.53,5.82,91.6
SKY,88.23,5.39,62.9
SLDB,9.25,5.23,17.8
SLGN,44.67,5.73,36.3
SLN,9.16,26.0,2.7
