Ticker,Type
AAUC,Big Move
ABCL,Big Move
ABR,Big Move
ABSI,Big Move
ABTC,Big Move
ACHV,Big Move
ACM,Big Move
ACN,Big Move
ADMA,Big Move
AEM,Big Move
AFRM,Pullback & Big Move
AG,Big Move
AGI,Big Move
AGPU,Big Move
AI,Big Move
ALMR,Big Move
ALNY,Big Move
ALOY,Pullback
AMC,Pullback
AMR,Big Move
ANF,Pullback
APPF,Big Move
ARCT,Big Move
ARE,Big Move
ARIS,Big Move
ASA,Big Move
ASM,Big Move
ASST,Big Move
ATAT,Big Move
AU,Big Move
AUGO,Big Move
AUPH,Big Move
AVIR,Big Move
AVTX,Big Move
AXGN,Pullback
AXTI,Pullback
AYA,Big Move
AZTA,Big Move
B,Big Move
BBOT,Big Move
BBW,Big Move
BDSX,Big Move
BEAM,Big Move
BH,Pullback
BKKT,Big Move
BLDR,Big Move
BLSH,Big Move
BMEZ,Big Move
BMM,Big Move
BMNR,Big Move
BNTX,Big Move
BOOT,Big Move
BORR,Pullback
BRCB,Big Move
BRZE,Big Move
BSY,Pullback
BTDR,Big Move
BTG,Big Move
BTGO,Big Move
BTU,Big Move
BULL,Big Move
CADL,Big Move
CAI,Big Move
CAL,Big Move
CAPR,Big Move
CBRE,Big Move
CDE,Big Move
CELH,Big Move
CGAU,Big Move
CGEM,Big Move
CGON,Big Move
CLPT,Big Move
CMCL,Big Move
CNR,Pullback
CNXC,Big Move
COCO,Big Move
COHU,Pullback
COIN,Big Move
CPNG,Big Move
CPRT,Big Move
CRAI,Pullback
CRCL,Big Move
CRM,Big Move
CRSP,Big Move
CRVL,Big Move
CSGP,Big Move
CSHR,Big Move
CSIQ,Big Move
CSTL,Big Move
CTGO,Big Move
CTNM,Big Move
CTSH,Big Move
CVNA,Pullback & Big Move
CWH,Big Move
CWK,Big Move
CYCU,Pullback
CYRX,Big Move
DBGI,Big Move
DBI,Big Move
DBX,Pullback
DC,Big Move
DDS,Pullback & Big Move
DFTX,Pullback
DGP,Big Move
DHR,Big Move
DK,Pullback
DKNG,Pullback & Big Move
DNA,Big Move
DNLI,Big Move
DNN,Pullback
DRD,Big Move
DSGX,Pullback
DXC,Pullback
EFX,Big Move
EGO,Big Move
EL,Big Move
ELE,Big Move
ELF,Big Move
EMBC,Big Move
EPAM,Big Move
EQX,Big Move
EVMN,Big Move
EWTX,Big Move
EXK,Big Move
FA,Pullback
FDMT,Big Move
FICO,Big Move
FLGT,Big Move
FLUT,Big Move
FMC,Big Move
FNV,Big Move
FRMM,Big Move
FSM,Big Move
FUN,Big Move
FWRD,Pullback
G,Big Move
GCT,Big Move
GENB,Big Move
GFI,Big Move
GIS,Big Move
GLOB,Big Move
GLXY,Big Move
GOLD,Big Move
GPI,Big Move
GRFS,Big Move
GRRR,Pullback
GSHD,Big Move
HCC,Big Move
HIMS,Big Move
HL,Big Move
HMY,Big Move
HNST,Big Move
HROW,Big Move
HSAI,Pullback
HSLV,Big Move
HTHT,Big Move
