Ticker,Price,ADR,Support,Dist
ABTC,9.6,9.07,E9,1.75
ACHV,7.83,4.96,E9,0.02
AI,10.76,4.65,E9,0.19
AMPL,13.69,5.13,E9,1.89
APPN,37.61,5.41,E9,0.02
ARQT,26.27,5.0,E9,1.46
ATEC,9.92,4.44,E9,0.22
AYA,27.94,5.63,E9,0.08
BBNX,21.76,7.89,E9,2.44
BE,266.65,6.23,E9,0.6
BTDR,12.15,7.18,E9,0.55
CBRS,206.41,5.83,E9,2.5
CE,47.56,4.01,E9,1.86
CHPT,8.98,9.18,E9,2.7
CLF,12.5,4.43,E9,0.85
CLOV,4.51,4.57,E9,0.09
CLSK,14.26,6.81,E9,1.56
CNH,13.28,4.43,E9,1.3
CNXC,29.39,7.07,E9,0.73
CRCL,93.0,6.95,E9,1.43
CRSP,55.7,4.6,E9,0.29
CRSR,13.55,4.24,E9,1.51
CSTL,35.19,4.13,E9,1.04
CUE,32.85,15.88,E9,2.78
CVI,51.3,5.43,E9,0.08
DAIC,3.41,24.43,E9,2.24
DELL,536.02,5.98,E9,1.76
DFDV,5.79,10.45,E9,1.71
DIOD,94.74,4.33,E9,1.72
DJCO,655.01,4.04,E9,0.52
DJT,9.1,4.39,E9,1.0
DOCU,68.99,4.23,E9,0.62
DPRO,5.57,7.1,E9,0.52
DTSS,0.88,19.62,E9,2.76
DUOL,147.75,4.83,E9,0.23
EFOR,32.43,5.25,E9,0.47
EFXT,23.25,4.0,E9,2.53
ELF,100.57,4.28,E9,1.45
ELMT,19.73,9.45,E9,2.59
ESTC,91.28,4.72,E9,2.53
FDMT,14.71,6.5,E9,0.59
FEIM,84.54,5.85,E9,2.08
FET,83.64,4.12,E9,1.98
FRNM,16.01,6.23,E9,0.62
FROG,94.2,6.07,E9,2.09
FTK,28.95,5.64,E9,1.14
FTRE,20.02,5.18,E9,2.32
GCT,53.91,5.08,E9,2.08
GDDY,100.81,4.98,E9,1.44
GH,176.45,5.02,E9,1.15
GLXY,25.19,6.76,E9,0.6
GPRK,11.34,4.81,E9,1.37
GPRO,1.26,17.28,E9,2.76
GTLB,48.62,4.4,E9,0.35
HIVE,3.3,5.88,E9,1.0
HNGE,91.98,4.61,E9,0.35
HOOD,120.82,5.38,E9,2.0
HTFL,48.66,5.17,E9,0.62
HUT,101.54,7.78,E9,2.88
IBRX,8.64,5.93,E9,1.4
INSP,68.81,5.1,E21,0.77
IREN,46.15,6.32,E9,1.03
KEEL,3.9,6.99,E9,1.75
KOPN,4.87,5.42,E9,2.9
LITE,929.04,5.97,E9,0.48
MARA,12.92,6.98,E9,2.17
MEDS,3.5,46.15,E9,1.61
MRX,72.69,4.49,E9,0.33
NABL,4.02,6.07,E9,0.36
NAT,7.66,4.13,E9,0.57
NICE,113.63,4.46,E9,2.32
NMAX,10.98,5.34,E9,1.23
NOW,137.78,4.13,E9,0.2
NRGV,4.3,7.5,E9,1.46
NTAP,197.24,4.49,E9,1.36
NUTX,204.59,5.23,E9,0.46
OCTV,19.05,4.1,E9,0.14
ODD,18.07,8.65,E9,0.97
ORBS,1.03,11.34,E9,1.42
ORIC,13.18,5.11,E9,1.54
PGEN,7.7,4.64,E9,2.37
PI,176.57,4.63,E9,0.72
PLPC,429.82,4.26,E9,2.64
PLSE,51.83,8.07,E9,0.97
QCOM,194.26,4.55,E9,2.53
QLYS,182.94,5.5,E9,1.72
QRVO,116.34,4.28,E9,0.51
RBLX,48.83,4.87,E9,0.92
RDW,11.6,5.79,E9,2.9
RIOT,23.48,6.54,E9,1.62
RUM,8.6,7.37,E9,0.18
SABR,2.25,6.48,E9,0.57
SIG,100.5,4.06,E9,1.33
SIMO,275.1,6.41,E9,2.65
SMTC,174.5,6.74,E9,2.76
SNDK,1753.62,5.95,E9,1.17
SNOW,334.0,4.19,E9,0.01
SPCE,3.2,5.44,E9,1.92
SPCX,148.03,4.22,E9,0.55
SPSC,82.69,4.01,E9,1.53
SWKS,87.81,6.28,E9,0.54
SYM,44.04,4.06,E9,1.33
TEAM,192.61,4.73,E9,0.85
TENB,35.88,6.34,E9,0.51
TGB,8.97,4.45,E9,2.57
TGTX,57.52,4.29,E9,1.87
TRLV,12.27,6.67,E9,2.75
VRNS,47.95,4.27,E9,1.03
VSTM,7.8,5.62,E9,0.44
VSTS,13.84,4.02,E9,0.41
WDAY,190.99,4.18,E9,0.06
WLTH,10.19,4.96,E9,1.22
WOR,60.33,4.27,E9,2.54
WT,23.99,4.52,E9,2.03
XMTR,97.38,5.26,E9,0.07
