Ticker,Price,Gain,Vol
ACN,173.17,5.17,1220.8
ADBE,263.43,5.72,1319.3
ADV,43.22,5.93,5.9
ALMU,15.06,6.13,8.4
ANIK,16.17,6.73,1.0
APA,36.7,5.07,176.0
APPN,28.74,5.08,18.9
ASH,72.84,7.1,50.3
AVTR,14.38,15.78,140.8
BLKB,42.18,17.39,23.2
BRZE,26.83,6.85,57.1
CAKE,101.14,13.63,143.8
CBRL,56.55,5.09,52.5
CBZ,54.9,17.56,67.8
CGAU,17.03,5.97,22.9
CHEF,105.63,5.44,58.5
CHRD,136.47,5.95,97.1
CLDX,37.51,5.42,35.5
CLH,326.34,7.47,144.6
CLW,21.61,23.42,3.6
CNQ,46.45,5.11,347.6
COUR,6.18,5.64,33.2
CRAI,190.04,5.59,25.0
CRGY,11.05,6.05,60.7
CRTO,22.63,7.0,10.3
CTSH,55.97,11.25,434.5
CVE,29.07,5.1,196.7
CVSA,133.6,5.78,44.0
DDOG,264.2,5.31,1040.5
DFNS,50.22,109.25,140.8
DOW,30.45,5.55,320.1
DXC,11.77,8.28,40.5
E,53.81,7.13,18.7
EDU,58.58,15.34,35.9
EPAM,106.89,6.46,138.6
EQNR,40.95,7.0,151.0
EXLS,35.99,17.88,71.6
G,36.71,6.07,63.9
GDYN,6.8,10.75,10.0
GEHC,71.9,12.15,376.2
GKOS,161.66,6.83,121.3
GLOB,38.15,8.66,61.6
GRMN,294.83,16.23,236.7
HCKT,11.17,5.68,4.0
HUBS,251.12,5.49,316.4
HURN,170.37,40.37,39.6
INTU,333.13,6.43,1256.1
IT,165.65,6.29,174.9
LAD,427.48,19.3,115.2
LBRX,39.0,11.62,10.5
LIFE,19.84,5.53,9.9
LOPE,159.31,5.89,53.8
MAAS,18.36,7.37,2.2
MANH,204.02,21.32,138.3
MASS,7.6,8.11,2.0
MBIN,54.28,11.3,8.0
MBX,63.96,6.49,47.2
MGY,25.03,6.97,163.0
MMYT,57.15,6.38,51.3
MPLT,15.02,22.01,27.5
MTDR,48.66,5.51,97.8
MUR,38.69,5.59,52.5
NEO,15.27,13.96,43.8
NOG,21.04,6.05,64.6
NP,35.11,10.13,24.5
NVST,28.37,5.23,69.9
OPCH,23.93,6.45,50.2
PARR,83.07,5.03,69.9
PAY,36.7,7.5,27.6
PHOE,21.01,21.59,1.7
PN,10.72,17.54,7.1
PPHC,10.56,5.92,1.2
PR,20.75,5.17,166.4
PRDO,34.55,5.21,25.8
PRGS,42.71,5.8,31.2
QUAD,9.29,10.46,1.5
QURE,40.07,9.3,61.9
RCKY,49.1,14.91,2.5
SAH,112.66,7.61,25.2
SBAC,186.29,6.49,178.0
SCL,66.14,14.01,8.3
SGRY,16.41,5.33,23.6
SHEN,12.71,7.35,5.8
SM,31.72,6.98,108.9
SMTI,30.25,13.55,1.9
SPRC,9.09,70.54,3.7
SSL,11.54,5.2,13.5
STAA,23.87,5.34,23.8
STRA,87.62,7.65,23.8
TEVA,34.71,9.6,176.3
TRDA,6.55,12.35,2.9
TTAN,84.22,7.44,110.5
VG,13.05,7.23,212.5
VRRM,5.1,22.01,23.1
VXX,23.42,6.31,173.0
WDAY,168.01,5.21,656.5
WK,61.45,5.02,42.8
XRAY,14.2,5.26,66.6
YARW,30.45,8.56,1.0
YOU,58.39,8.45,62.1
ZSQR,5.29,9.75,3.8
