Ticker,Price,ADR,Support,Dist
AI,10.85,4.69,E9,1.37
AMLX,33.0,5.0,E9,0.1
AMPL,13.14,4.84,E9,0.81
AMRC,24.22,4.99,E9,2.94
ANF,136.21,5.04,E9,0.7
AQST,4.95,5.38,E9,2.07
ARIS,19.84,4.15,E9,2.9
ASO,49.5,4.11,E9,0.16
ATEC,10.33,4.53,E9,1.66
AUR,6.46,5.04,E9,0.93
BLTE,175.35,4.35,E9,1.48
BORR,4.46,4.77,E9,1.51
BRKR,61.21,4.42,E9,2.85
CDE,20.49,4.63,E9,2.14
CDW,147.43,4.27,E9,0.46
CGEM,21.67,4.5,E9,2.04
CLF,12.53,4.32,E9,2.34
CLMT,56.42,4.39,E9,0.96
CLOV,4.67,4.57,E9,2.05
CMPS,14.78,5.66,E9,1.32
CNH,13.67,4.37,E9,1.01
CRSR,13.58,4.42,E9,2.55
CSTL,34.85,4.17,E9,0.43
CUE,30.9,16.08,E9,1.66
CVI,52.13,5.49,E9,1.73
DELL,548.92,5.94,E9,0.65
DINO,106.69,4.3,E21,0.77
DJCO,657.01,4.2,E9,0.35
DOCU,66.76,4.22,E9,0.87
DPRO,5.54,6.75,E9,0.67
DUOL,147.71,4.72,E9,0.04
EFOR,32.28,5.21,E9,0.65
ELMT,20.82,9.33,E9,2.37
ESTC,89.22,4.82,E9,1.66
EWTX,44.51,4.53,E9,0.34
FET,80.95,4.14,E9,0.48
FTNT,174.26,4.53,E9,2.66
GCT,53.12,4.91,E9,1.09
GH,177.16,5.11,E9,2.19
GPRO,1.27,17.14,E9,2.56
GRDN,44.67,4.21,E9,0.41
GTLB,48.82,4.5,E9,0.06
HNGE,94.15,4.76,E9,0.8
HNST,5.41,4.7,E9,0.04
HTFL,50.17,4.89,E9,1.45
IMMX,12.83,6.11,E9,1.75
INBX,110.67,8.01,E9,0.65
INSP,71.3,4.99,E9,1.23
IRD,5.16,9.9,E9,2.14
JMIA,7.02,4.49,E9,0.03
LITE,945.67,6.23,E9,2.78
MGNI,24.8,4.2,E9,0.84
MIR,16.49,4.14,E9,2.62
MOS,24.73,4.35,E9,0.38
MRX,72.65,4.47,E9,0.21
NAT,7.66,4.04,E9,1.02
NEO,18.89,4.75,E9,0.02
NOW,137.0,4.18,E9,0.33
NTAP,192.91,4.44,E9,0.22
NUTX,208.82,5.51,E9,1.0
NX,20.66,4.68,E9,0.37
OCTV,19.37,4.17,E9,2.95
ORCL,149.2,4.22,E9,0.4
PANW,374.57,5.24,E9,2.42
PAYS,12.91,5.61,E9,2.22
PD,14.48,4.06,E9,1.59
PI,181.75,4.93,E9,1.86
PLPC,425.2,4.24,E9,2.91
PLSE,52.69,7.94,E9,0.19
QNRX,7.01,10.64,E9,1.37
SABR,2.27,6.29,E9,1.11
SEI,65.67,5.59,E9,0.36
SGMT,11.09,4.94,E9,1.87
SIG,100.42,4.08,E9,1.92
SMMT,17.12,5.58,E9,0.47
SNAP,5.62,5.55,E9,0.25
SNOW,336.59,4.26,E9,0.83
SPCX,154.72,4.22,E9,2.42
SPSC,81.48,4.09,E9,0.47
SRPT,20.81,7.01,E9,1.12
TEAM,188.65,4.85,E9,0.43
TENB,35.91,6.66,E9,1.14
TMDX,88.07,4.84,E9,1.2
UI,580.88,4.61,E9,0.56
UROY,4.51,5.71,E9,2.01
VITL,11.25,4.78,E9,1.77
VRNS,47.29,4.43,E9,0.43
VSAT,74.99,5.28,E9,1.27
WAY,25.63,4.33,E9,0.21
WGS,90.8,5.64,E21,1.11
WIX,80.1,6.13,E9,0.34
WLTH,9.94,4.66,E9,0.63
WT,23.73,4.46,E9,1.8
ZBIO,33.05,4.96,E9,2.47
ZETA,30.13,4.71,E9,0.36
