Ticker,Type
ABSI,Big Move
AEHL,Big Move
AEYE,Big Move
AG,Big Move
ALAB,Big Move
ALIT,Big Move
AMR,Big Move
AMRC,Pullback
ANL,Big Move
AOSL,Big Move
AQST,Pullback
ARHS,Big Move
ARIS,Pullback
ARQT,Big Move
ASM,Big Move
ASO,Pullback
ASPN,Big Move
AYA,Big Move
BALY,Big Move
BAND,Big Move
BBW,Big Move
BETA,Big Move
BETR,Big Move
BFLY,Big Move
BHE,Big Move
BLLN,Big Move
BLZE,Big Move
BMM,Big Move
BOBS,Big Move
BORR,Pullback
BRKR,Pullback
BTU,Big Move
BUUU,Big Move
BXC,Big Move
CADL,Big Move
CAL,Big Move
CDE,Pullback
CDW,Pullback
CE,Big Move
CLMB,Big Move
CLMT,Pullback
CLOV,Pullback
CLPT,Big Move
CMCO,Big Move
CMPS,Pullback
CNL,Big Move
CNXC,Big Move
CPRI,Big Move
CRVS,Big Move
CTKB,Big Move
CUE,Pullback & Big Move
CVI,Pullback
CXT,Big Move
DC,Big Move
DELL,Pullback
DFH,Big Move
DINO,Pullback
DIOD,Big Move
DKS,Big Move
DMAC,Big Move
DNA,Big Move
DNLI,Big Move
DTIL,Big Move
DUOL,Pullback
EAF,Big Move
EGO,Big Move
ELMT,Pullback
EMBC,Big Move
EPOW,Big Move
ERO,Big Move
ESI,Big Move
FIRY,Big Move
FOSL,Big Move
GENI,Big Move
GH,Pullback
GME,Big Move
GMTL,Big Move
GRML,Big Move
GRRR,Big Move
GSIT,Big Move
GT,Big Move
HBB,Big Move
HELE,Big Move
HNST,Pullback
HTFL,Pullback
HYMC,Big Move
IBRX,Big Move
IDR,Big Move
IE,Big Move
IMMX,Pullback
INBX,Pullback
INOD,Big Move
INSP,Pullback
JAGX,Big Move
JMIA,Pullback
KLIC,Big Move
KLRA,Big Move
KMTS,Big Move
KRO,Big Move
KRSA,Big Move
KRYS,Big Move
KYTX,Big Move
LEN,Big Move
LITE,Pullback
LOVE,Big Move
MAZE,Big Move
MBC,Big Move
MDB,Big Move
MDLN,Big Move
MGNI,Pullback
MIR,Pullback
MLTX,Big Move
MNRO,Big Move
MOS,Pullback
MPWR,Big Move
MRNA,Big Move
MU,Big Move
MUX,Big Move
NAT,Pullback
NCT,Big Move
NEO,Pullback
NEWP,Big Move
NG,Big Move
NOVT,Big Move
NTRA,Big Move
NX,Pullback
OCS,Big Move
OCTV,Pullback
OCUL,Big Move
OMER,Big Move
ONEW,Big Move
ONON,Big Move
ORCL,Pullback
ORIC,Big Move
OUST,Big Move
OWLT,Big Move
PAYS,Pullback
PCLA,Big Move
PLPC,Pullback
PONY,Big Move
PRTA,Big Move
RARE,Big Move
RCEL,Big Move
RDIB,Big Move
RGC,Big Move
RILY,Big Move
RJET,Big Move
RLAY,Big Move
RMBS,Big Move
ROG,Big Move
RRGB,Big Move
RSKD,Big Move
RTB,Big Move
RYAM,Big Move
SA,Big Move
SAIL,Big Move
SBH,Big Move
SEI,Pullback
SGRY,Big Move
SHAZ,Big Move
SHOP,Big Move
SIG,Pullback
SLS,Big Move
SMMT,Pullback
SPSC,Pullback
SPTX,Big Move
SRAD,Big Move
SRPT,Pullback
SRRK,Big Move
SRZN,Big Move
SSMR,Big Move
STTK,Big Move
SVCO,Big Move
TANH,Big Move
TBI,Big Move
TGB,Big Move
THO,Big Move
TKNO,Big Move
TLX,Big Move
TMDX,Pullback
TNGX,Big Move
TRAX,Big Move
TRLV,Big Move
TSSI,Big Move
TTAN,Big Move
TWLO,Big Move
USDE,Big Move
VERA,Big Move
VICR,Big Move
VIR,Big Move
VITL,Pullback
VKTX,Big Move
VMAR,Big Move
VPG,Big Move
VSAT,Pullback
VVV,Big Move
WEST,Big Move
WEYS,Big Move
WGS,Pullback
WSHP,Big Move
WT,Pullback
XHLD,Big Move
XMTR,Big Move
XPON,Big Move
XRAY,Big Move
ZBIO,Pullback
