Ticker,Type
AAOI,Pullback
ACHR,Pullback
ACRS,Big Move
ADVB,Big Move
AEHL,Big Move
AEHR,Pullback
AG,Pullback
AGEN,Big Move
AGRO,Big Move
AIAI,Big Move
AIR,Pullback
ALNT,Pullback
AMLX,Big Move
ANAB,Pullback
ANL,Big Move
ARES,Pullback
ARHS,Big Move
ARIS,Pullback
ASM,Pullback
ASMB,Big Move
ATI,Pullback
ATRO,Pullback
AURA,Big Move
BAH,Pullback
BANL,Big Move
BBNX,Big Move
BBSI,Big Move
BBW,Pullback
BBWI,Big Move
BHC,Big Move
BKSY,Pullback
BL,Pullback
BLZE,Pullback
BMNR,Pullback
BOC,Big Move
BTU,Pullback
BULL,Pullback
BUUU,Big Move
CAI,Pullback
CARG,Pullback
CARL,Big Move
CCC,Big Move
CCXI,Pullback
CDE,Pullback
CDNL,Big Move
CHTR,Pullback
CLBT,Big Move
CLMT,Big Move
CLRO,Big Move
CNC,Pullback
COTY,Pullback
COUR,Pullback
CRDO,Pullback
CRMD,Big Move
CRWV,Pullback
CXW,Pullback
DAN,Pullback
DASH,Pullback
DCH,Pullback
DCO,Pullback
DFIN,Pullback
DIOD,Pullback
DOO,Big Move
DRUG,Big Move
DTIL,Big Move
DUOL,Big Move
DXPE,Pullback
EAT,Pullback
ECPG,Pullback
EGO,Pullback
EIKN,Big Move
ENTG,Pullback
EOLS,Big Move
EQX,Pullback
ERO,Pullback
EYPT,Big Move
FCEL,Pullback
FEIM,Pullback
FET,Pullback
FIGS,Pullback
FLOC,Pullback
FLR,Pullback
FLXS,Big Move
FORM,Pullback
FOUR,Big Move
FRHC,Big Move
FROG,Pullback
FSLY,Pullback
FUBO,Pullback
GDDY,Pullback
GDS,Pullback
GHM,Pullback
GHRS,Pullback
HAE,Big Move
HBM,Pullback
HCWC,Pullback
HL,Pullback
HPE,Pullback
HRTG,Pullback
HTFL,Big Move
HUBS,Pullback & Big Move
IAG,Pullback
IBRX,Pullback
IESC,Pullback
IMUX,Big Move
IONQ,Pullback
JILL,Big Move
KFRC,Pullback
KRMN,Pullback
KTOS,Pullback
KURA,Big Move
KVYO,Pullback
KZIA,Big Move
LBRX,Big Move
LEGN,Big Move
LITE,Pullback
LOAR,Pullback
LRCX,Pullback
LYEL,Big Move
MAX,Pullback
MBLY,Pullback
MDB,Pullback
MF,Big Move
MGNI,Pullback
MNDY,Pullback & Big Move
MPLT,Big Move
MRNA,Pullback
MRVL,Pullback
MTRN,Pullback
MU,Pullback
NG,Pullback
NICE,Pullback
NMAX,Big Move
NNBR,Pullback
NRIX,Pullback
NSP,Pullback
NTWO,Big Move
NUAI,Pullback
NUVB,Big Move
NVCT,Big Move
NVT,Pullback
NXE,Pullback
OBIO,Big Move
ODTX,Big Move
OFAL,Pullback
ONTO,Pullback
OSCR,Pullback
PARR,Pullback
PATH,Pullback
PCVX,Pullback
PEGA,Pullback
PFSA,Big Move
PLNT,Big Move
PLPC,Pullback
PLTR,Pullback
PODD,Big Move
PRAX,Pullback
PRCH,Pullback
PROF,Big Move
PRTH,Big Move
PWR,Pullback
QURE,Pullback
RCAT,Pullback
RCEL,Big Move
RDW,Pullback
RELY,Pullback
REPL,Big Move
RGEN,Pullback
RGNX,Pullback
RGTI,Pullback
RIG,Pullback
RLAY,Pullback
RMAX,Big Move
ROAD,Pullback
ROOT,Big Move
SA,Pullback
SBET,Pullback
SENS,Big Move
SEPN,Pullback
SHAK,Pullback
SI,Big Move
SII,Pullback
SITM,Pullback
SLE,Big Move
SMTC,Pullback
SONO,Pullback
SPHR,Pullback
SRPT,Pullback
SRRK,Big Move
SSRM,Pullback
SSTI,Big Move
STX,Pullback
SXTC,Big Move
TBI,Big Move
TECX,Big Move
TENB,Pullback
TER,Pullback
TGB,Pullback
TNDM,Big Move
TOP,Big Move
TOST,Pullback
TRGP,Big Move
TRI,Pullback
TRUP,Pullback
TWST,Pullback
TXG,Pullback
UGI,Big Move
UROY,Pullback
USAS,Pullback
VELO,Pullback
VERX,Pullback
VGNT,Pullback
VIA,Pullback
VOYG,Pullback
VRNS,Pullback
VSEC,Pullback
WDAY,Pullback
WEAV,Big Move
WEN,Pullback
WK,Pullback
WT,Pullback
WTTR,Pullback
XNCR,Big Move
XPRO,Pullback
Z,Pullback
ZBRA,Pullback
ZETA,Pullback
ZG,Pullback
